accession,serotype,genotype,continent,country-code,country,region,sub-location1,sub-location2,lat,long,isolation-date
KR919821,1,I,Oceania,AUS,Australia,,Townsville,,-19.2569391,146.8239537,2008
MK905537,1,I,East-Asia,CHN,China,,Henan,,,,2019-04-09
MK166995,1,I,East-Asia,CHN,China,,,,,,2017-11-14
MK167019,1,I,East-Asia,CHN,China,,,,,,2017-11-12
MK167008,1,I,East-Asia,CHN,China,,,,,,2017-11-11
MK167007,1,I,East-Asia,CHN,China,,,,,,2017-11-06
MK167016,1,I,East-Asia,CHN,China,,,,,,2017-11-05
MK167017,1,I,East-Asia,CHN,China,,,,,,2017-11-05
MK166996,1,I,East-Asia,CHN,China,,,,,,2017-11-04
MK167011,1,I,East-Asia,CHN,China,,,,,,2017-11-03
MK167001,1,I,East-Asia,CHN,China,,,,,,2017-11-02
MK167012,1,I,East-Asia,CHN,China,,,,,,2017-11-02
MK167018,1,I,East-Asia,CHN,China,,,,,,2017-10-31
MK166999,1,I,East-Asia,CHN,China,,,,,,2017-10-30
MK167014,1,I,East-Asia,CHN,China,,,,,,2017-10-30
MK166997,1,I,East-Asia,CHN,China,,,,,,2017-10-29
MK166998,1,I,East-Asia,CHN,China,,,,,,2017-10-29
MK167002,1,I,East-Asia,CHN,China,,,,,,2017-10-29
MK167013,1,I,East-Asia,CHN,China,,,,,,2017-10-29
MK167015,1,I,East-Asia,CHN,China,,,,,,2017-10-27
MK166993,1,I,East-Asia,CHN,China,,,,,,2017-10-26
MK167000,1,I,East-Asia,CHN,China,,,,,,2017-10-26
MK167004,1,I,East-Asia,CHN,China,,,,,,2017-10-26
MK167010,1,I,East-Asia,CHN,China,,,,,,2017-10-26
MK166994,1,I,East-Asia,CHN,China,,,,,,2017-10-25
MK167009,1,I,East-Asia,CHN,China,,,,,,2017-10-25
MK167003,1,I,East-Asia,CHN,China,,,,,,2017-10-23
MK167006,1,I,East-Asia,CHN,China,,,,,,2017-10-21
MK166992,1,I,East-Asia,CHN,China,,,,,,2017-10-20
MK167005,1,I,East-Asia,CHN,China,,,,,,2017-10-10
MG767211,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2017-09-04
MF681692,1,I,East-Asia,CHN,China,,Yunnan,,,,2017-07-04
MF681693,1,I,East-Asia,CHN,China,,Yunnan,,,,2017-07-04
MF683116,1,I,East-Asia,CHN,China,,Yunnan,,25,102,2017-07-04
MF683117,1,I,East-Asia,CHN,China,,Yunnan,,25,102,2017-07-04
KY672934,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-10-22
KY672935,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-10-17
MF405201,1,I,East-Asia,CHN,China,,Yunnan,,25,102,2015-09-01
KY672933,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-08-08
KY672936,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-07-06
KY672932,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-06-14
KY672931,1,I,East-Asia,CHN,China,,Yunnan,,,,2015-06-09
KT827379,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2015
KX225488,1,I,East-Asia,CHN,China,,Fujian,,26.5450001,117.842778,2015
KX225489,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2015
KX225490,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2015
KX225491,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2015
KX225492,1,I,East-Asia,CHN,China,,Guangdong,,,,2015
KX225493,1,I,East-Asia,CHN,China,,Guangdong,,,,2015
KX458014,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014-11-11
KX458013,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014-11-10
KR028435,1,I,East-Asia,CHN,China,,,,,,2014-10-01
MG560265,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014-10-01
KY672942,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-09-27
KY672941,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-09-21
KY672940,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-09-18
MG560266,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014-09-11
KP772252,1,I,East-Asia,CHN,China,,,,,,2014-09-01
KY672939,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-08-13
KY672938,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-08-08
KY672937,1,I,East-Asia,CHN,China,,Yunnan,,,,2014-08-01
KP723476,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KT187564,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KT827371,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KT827372,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KT827373,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KT827376,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KX620454,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KX620455,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KX621250,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2014
KX621252,1,I,East-Asia,CHN,China,,,,,,2014
MH271402,1,I,East-Asia,CHN,China,,,,,,2014
MH271403,1,I,East-Asia,CHN,China,,,,,,2014
MH271404,1,I,East-Asia,CHN,China,,,,,,2014
KY672943,1,I,East-Asia,CHN,China,,Yunnan,,,,2013-10-08
KF971869,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013-08-23
KF971870,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013-08-23
KF971871,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013-08-23
KJ438293,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013
KJ438296,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013
KT827370,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013
KX621251,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2013
KC131140,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2012-09
KC131141,1,I,East-Asia,CHN,China,,Guangdong,,23.1357694,113.1982688,2012-09
