strain	accession	date	country	region	state
AB519681	AB519681	2001-XX-XX	BRA	Brazil-CenterWest	BRA/Distrito-Federal
D1-s72	D1-s72	2008-XX-XX	BRA	Brazil-CenterWest	BRA/MatoGrosso
D1-s56	D1-s56	2002-XX-XX	BRA	Brazil-CenterWest	BRA/MatoGrosso
D1-s48	D1-s48	2000-XX-XX	BRA	Brazil-North	BRA/Acre
D1-s60	D1-s60	2005-XX-XX	BRA	Brazil-North	BRA/Amapa
D1-s49	D1-s49	2001-XX-XX	BRA	Brazil-North	BRA/Amapa
FJ850093	FJ850093	2008-XX-XX	BRA	Brazil-North	BRA/Northern
FJ850087	FJ850087	2006-XX-XX	BRA	Brazil-North	BRA/Northern
FJ850081	FJ850081	2004-XX-XX	BRA	Brazil-North	BRA/Northern
FJ850075	FJ850075	2002-XX-XX	BRA	Brazil-North	BRA/Northern
FJ850070	FJ850070	2000-XX-XX	BRA	Brazil-North	BRA/Northern
D1-s61	D1-s61	2006-XX-XX	BRA	Brazil-North	BRA/Para
D1-s59	D1-s59	2004-XX-XX	BRA	Brazil-North	BRA/Para
D1-s43	D1-s43	1997-XX-XX	BRA	Brazil-North	BRA/Para
D1-s51	D1-s51	2001-XX-XX	BRA	Brazil-North	BRA/Roraima
D1-s57	D1-s57	2002-XX-XX	BRA	Brazil-North	BRA/Tocantins
GL-0029	GL-0029	2019-05-13	BRA	Brazil-Northeast	BRA/Alagoas
GL-0039	GL-0039	2019-05-13	BRA	Brazil-Northeast	BRA/Alagoas
GL-0040	GL-0040	2019-05-13	BRA	Brazil-Northeast	BRA/Alagoas
D1-s47	D1-s47	2000-XX-XX	BRA	Brazil-Northeast	BRA/Ceara
D1-s40	D1-s40	1994-XX-XX	BRA	Brazil-Northeast	BRA/Ceara
D1-s58	D1-s58	2003-XX-XX	BRA	Brazil-Northeast	BRA/Maranhao
FJ850073	FJ850073	2001-XX-XX	BRA	Brazil-Northeast	BRA/Northeast
GL-0001	GL-0001	2018-05-27	BRA	Brazil-Northeast	BRA/Paraiba
GL-0002	GL-0002	2018-05-26	BRA	Brazil-Northeast	BRA/Paraiba
GL-0003	GL-0003	2018-05-26	BRA	Brazil-Northeast	BRA/Paraiba
GL-0004	GL-0004	2019-05-06	BRA	Brazil-Northeast	BRA/Paraiba
GL-0005	GL-0005	2018-06-20	BRA	Brazil-Northeast	BRA/Paraiba
GL-0006	GL-0006	2018-06-03	BRA	Brazil-Northeast	BRA/Paraiba
GL-0007	GL-0007	2018-05-18	BRA	Brazil-Northeast	BRA/Paraiba
GL-0008	GL-0008	2018-06-01	BRA	Brazil-Northeast	BRA/Paraiba
GL-0009	GL-0009	2018-06-17	BRA	Brazil-Northeast	BRA/Paraiba
GL-0010	GL-0010	2018-05-21	BRA	Brazil-Northeast	BRA/Paraiba
GL-0011	GL-0011	2018-04-21	BRA	Brazil-Northeast	BRA/Paraiba
GL-0012	GL-0012	2018-04-22	BRA	Brazil-Northeast	BRA/Paraiba
GL-0013	GL-0013	2018-04-23	BRA	Brazil-Northeast	BRA/Paraiba
GL-0014	GL-0014	2018-04-21	BRA	Brazil-Northeast	BRA/Paraiba
GL-0015	GL-0015	2018-04-22	BRA	Brazil-Northeast	BRA/Paraiba
