accession,serotype,genotype,continent,country-code,country,region,sub-location1,sub-location2,lat,long,isolation-date
MF682966,3,I,East-Asia,CHN,China,,Yunnan,,,,2016-09-07
MF682967,3,I,East-Asia,CHN,China,,Yunnan,,,,2016-09-08
MF682968,3,I,East-Asia,CHN,China,,Yunnan,,,,2016-09-10
MF682969,3,I,East-Asia,CHN,China,,Yunnan,,,,2016-09-11
MF682970,3,I,East-Asia,CHN,China,,Yunnan,,,,2016-09-15
FJ898455,3,I,Oceania,COK,Cook-Islands,,,,,,1991
AB214879,3,I,Southeast-Asia,TLS,East-Timor,,Leste,,,,2005
AB214880,3,I,Southeast-Asia,TLS,East-Timor,,Leste,,,,2005
AB214881,3,I,Southeast-Asia,TLS,East-Timor,,Leste,,,,2005
AB214882,3,I,Southeast-Asia,TLS,East-Timor,,Leste,,,,2005
AY744677,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1989
AY744678,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1989
AY744679,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1990
AY744680,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1990
AY744681,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1990
JQ920476,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1991-08-09
AY744682,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1992
AY744683,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1992
AY744684,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1992
JQ920477,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1993-04-20
AY744685,3,I,Oceania,PYF,French-Polynesia,,Raiatea,,,,1994
JQ920478,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1995-07-19
JQ920479,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1996-02-15
JQ920480,3,I,Oceania,PYF,French-Polynesia,,Tahiti,,,,1996-09-04
AY858038,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,1988
AY858039,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,1998
AB189125,3,I,Southeast-Asia,IDN,Indonesia,,Sumatra,,,,1998
AB189126,3,I,Southeast-Asia,IDN,Indonesia,,Sumatra,,,,1998
AB189127,3,I,Southeast-Asia,IDN,Indonesia,,Sumatra,,,,1998
AB189128,3,I,Southeast-Asia,IDN,Indonesia,,Sumatra,,,,1998
AY858037,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858040,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858041,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858042,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858043,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858044,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858045,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858046,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858047,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
AY858048,3,I,Southeast-Asia,IDN,Indonesia,,Jakarta,,,,2004
KC762681,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2007-06-22
KC762686,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2007-07-02
KC762684,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2007-07-10
KC762682,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2007-07-26
KC762683,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2007-07-26
KC762685,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-02-15
KC762687,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-02-15
KC762689,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-02-15
KC762691,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-04-10
KC762688,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-04-30
KC762690,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2008-08-26
KC762692,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2010-03-22
KC762693,3,I,Southeast-Asia,IDN,Indonesia,,Makassar,,,,2010-03-29
KY863456,3,I,Southeast-Asia,IDN,Indonesia,,,,,,2016-06
MF004386,3,I,Southeast-Asia,MYS,Malaysia,,,,,,2012-10-04
JQ920481,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1989-02-06
JQ920482,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1995-02-24
JQ920483,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1995-08-17
JQ920484,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1995-12-27
JQ920485,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1996-10-21
JQ920486,3,I,Oceania,NCL,New-Caledonia,,NA,,,,1996-11-18
KY794787,3,I,Oceania,PNG,Papua-New-Guinea,,Madang,,,,2007-10-09
KY794788,3,I,Oceania,PNG,Papua-New-Guinea,,Madang,,,,2008-04-24
KY794789,3,I,Oceania,PNG,Papua-New-Guinea,,Madang,,,,2008-05-21
KY794790,3,I,Oceania,PNG,Papua-New-Guinea,,Madang,,,,2008-06-06
KY794786,3,I,Oceania,PNG,Papua-New-Guinea,,Lihir,,,,2010-10-27
AY496879,3,I,Southeast-Asia,PHL,Philippines,,NA,,,,1997
KU509279,3,I,Southeast-Asia,PHL,Philippines,,NA,,,,2008
FJ898456,3,I,Oceania,WSM,Samoa,,NA,,,,1995
EU081221,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2005
EU081223,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2005
GU370052,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2009-01
KX380839,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2012
KX380840,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2012
KY921906,3,I,Southeast-Asia,SGP,Singapore,,NA,,,,2015-06
DQ675519,3,I,East-Asia,TWN,Taiwan,,NA,,,,1995
KU509285,3,I,Southeast-Asia,THA,Thailand,,,,,,2010
JQ920487,3,I,Oceania,WLF,Wallis-and-Futuna,,NA,,,,1989-08-14
JQ920488,3,I,Oceania,WLF,Wallis-and-Futuna,,NA,,,,1995-04-05
JQ920489,3,I,Oceania,WLF,Wallis-and-Futuna,,NA,,,,1995-05-09
KF955461,3,II,Southeast-Asia,KHM,Cambodia,,Php,,,,1999
FJ639719,3,II,Southeast-Asia,KHM,Cambodia,,Php,,,,2000
KF955332,3,II,Southeast-Asia,KHM,Cambodia,,Php,,,,2000
KF955462,3,II,Southeast-Asia,KHM,Cambodia,,Kch,,,,2001
KF955463,3,II,Southeast-Asia,KHM,Cambodia,,Kch,,,,2001
FJ639720,3,II,Southeast-Asia,KHM,Cambodia,,Php,,,,2001
GQ868626,3,II,Southeast-Asia,KHM,Cambodia,,Php,,,,2001
FJ639721,3,II,Southeast-Asia,KHM,Cambodia,,Kch,,,,2002
FJ639722,3,II,Southeast-Asia,KHM,Cambodia,,Kch,,,,2002
GQ868627,3,II,Southeast-Asia,KHM,Cambodia,,Kch,,,,2002
