state	code	municipality	cases	population	year	incidence
Paraíba	250020	Aguiar	0	5630	2014	0,00
Paraíba	250020	Aguiar	0	5630	2015	0,00
Paraíba	250020	Aguiar	0	5630	2016	0,00
Paraíba	250020	Aguiar	0	5630	2017	0,00
Paraíba	250020	Aguiar	10	5630	2018	0,56
Paraíba	250020	Aguiar	0	5630	2019	0,00
Paraíba	250030	Alagoa Grande	11	28439	2014	3,13
Paraíba	250030	Alagoa Grande	336	28439	2015	95,56
Paraíba	250030	Alagoa Grande	60	28439	2016	17,06
Paraíba	250030	Alagoa Grande	8	28439	2017	2,28
Paraíba	250030	Alagoa Grande	22	28439	2018	6,26
Paraíba	250030	Alagoa Grande	64	28439	2019	18,20
Paraíba	250040	Alagoa Nova	32	20921	2014	6,69
Paraíba	250040	Alagoa Nova	165	20921	2015	34,52
Paraíba	250040	Alagoa Nova	199	20921	2016	41,63
Paraíba	250040	Alagoa Nova	2	20921	2017	0,42
Paraíba	250040	Alagoa Nova	35	20921	2018	7,32
Paraíba	250040	Alagoa Nova	99	20921	2019	20,71
Paraíba	250050	Alagoinha	2	14560	2014	0,29
Paraíba	250050	Alagoinha	37	14560	2015	5,39
Paraíba	250050	Alagoinha	23	14560	2016	3,35
Paraíba	250050	Alagoinha	2	14560	2017	0,29
Paraíba	250050	Alagoinha	12	14560	2018	1,75
Paraíba	250050	Alagoinha	20	14560	2019	2,91
Paraíba	250053	Alcantil	0	5509	2014	0,00
Paraíba	250053	Alcantil	36	5509	2015	1,98
Paraíba	250053	Alcantil	9	5509	2016	0,50
Paraíba	250053	Alcantil	0	5509	2017	0,00
Paraíba	250053	Alcantil	15	5509	2018	0,83
Paraíba	250053	Alcantil	3	5509	2019	0,17
Paraíba	250057	Algodão de Jandaíra	1	2577	2014	0,03
Paraíba	250057	Algodão de Jandaíra	1	2577	2015	0,03
Paraíba	250057	Algodão de Jandaíra	2	2577	2016	0,05
Paraíba	250057	Algodão de Jandaíra	0	2577	2017	0,00
Paraíba	250057	Algodão de Jandaíra	2	2577	2018	0,05
Paraíba	250057	Algodão de Jandaíra	15	2577	2019	0,39
Paraíba	250060	Alhandra	108	19727	2014	21,31
Paraíba	250060	Alhandra	1132	19727	2015	223,31
Paraíba	250060	Alhandra	392	19727	2016	77,33
Paraíba	250060	Alhandra	39	19727	2017	7,69
Paraíba	250060	Alhandra	0	19727	2018	0,00
Paraíba	250060	Alhandra	3	19727	2019	0,59
Paraíba	250073	Amparo	0	2251	2014	0,00
Paraíba	250073	Amparo	12	2251	2015	0,27
Paraíba	250073	Amparo	46	2251	2016	1,04
Paraíba	250073	Amparo	0	2251	2017	0,00
Paraíba	250073	Amparo	0	2251	2018	0,00
Paraíba	250073	Amparo	0	2251	2019	0,00
Paraíba	250077	Aparecida	0	8416	2014	0,00
Paraíba	250077	Aparecida	13	8416	2015	1,09
Paraíba	250077	Aparecida	61	8416	2016	5,13
Paraíba	250077	Aparecida	0	8416	2017	0,00
Paraíba	250077	Aparecida	70	8416	2018	5,89
Paraíba	250077	Aparecida	2	8416	2019	0,17
Paraíba	250090	Arara	0	13542	2014	0,00
Paraíba	250090	Arara	64	13542	2015	8,67
Paraíba	250090	Arara	209	13542	2016	28,30
Paraíba	250090	Arara	0	13542	2017	0,00
Paraíba	250090	Arara	0	13542	2018	0,00
Paraíba	250090	Arara	1	13542	2019	0,14
Paraíba	250100	Araruna	1	20463	2014	0,20
Paraíba	250100	Araruna	23	20463	2015	4,71
Paraíba	250100	Araruna	22	20463	2016	4,50
Paraíba	250100	Araruna	6	20463	2017	1,23
Paraíba	250100	Araruna	12	20463	2018	2,46
Paraíba	250100	Araruna	171	20463	2019	34,99
Paraíba	250080	Araçagi	0	16921	2014	0,00
Paraíba	250080	Araçagi	0	16921	2015	0,00
Paraíba	250080	Araçagi	0	16921	2016	0,00
Paraíba	250080	Araçagi	0	16921	2017	0,00
Paraíba	250080	Araçagi	0	16921	2018	0,00
Paraíba	250080	Araçagi	0	16921	2019	0,00
Paraíba	250110	Areia	1	3695	2014	0,04
Paraíba	250110	Areia	21	3695	2015	0,78
Paraíba	250110	Areia	286	3695	2016	10,57
Paraíba	250110	Areia	24	3695	2017	0,89
Paraíba	250110	Areia	51	3695	2018	1,88
Paraíba	250110	Areia	244	3695	2019	9,02
Paraíba	250115	Areia de Baraúnas	7	2116	2014	0,15
