state	code	municipality	cases	population	year	incidence
São Paulo	350010	Adamantina	43	35111	2014	15,09773
São Paulo	354130	Presidente Epitácio	63	44389	2014	27,96507
São Paulo	351360	Cunha	0	9325	2014	0
São Paulo	354120	Presidente Bernardes	12	13023	2014	1,56276
São Paulo	351090	Cássia dos Coqueiros	1	2505	2014	0,02505
São Paulo	354110	Presidente Alves	5	4080	2014	0,204
São Paulo	351000	Cândido Mota	99	31346	2014	31,03254
São Paulo	354105	Pratânia	1	5317	2014	0,05317
São Paulo	354100	Praia Grande	311	330845	2014	1028,92795
São Paulo	351010	Cândido Rodrigues	0	2799	2014	0
São Paulo	354090	Pradópolis	11	21873	2014	2,40603
São Paulo	351370	Descalvado	103	33910	2014	34,9273
São Paulo	354085	Pracinha	0	4212	2014	0
São Paulo	351380	Diadema	387	426757	2014	1651,54959
São Paulo	353980	Poá	18	118349	2014	21,30282
São Paulo	354080	Potirendaba	35	17516	2014	6,1306
São Paulo	351385	Dirce Reis	3	1799	2014	0,05397
São Paulo	354075	Potim	97	25130	2014	24,3761
São Paulo	351390	Divinolândia	3	11086	2014	0,33258
São Paulo	354070	Porto Ferreira	840	56504	2014	474,6336
São Paulo	351400	Dobrada	10	9010	2014	0,901
São Paulo	354060	Porto Feliz	120	53402	2014	64,0824
São Paulo	354050	Porangaba	17	10067	2014	1,71139
São Paulo	351410	Dois Córregos	71	27512	2014	19,53352
São Paulo	354040	Populina	1	4152	2014	0,04152
São Paulo	351420	Dolcinópolis	1	2112	2014	0,02112
São Paulo	354140	Presidente Prudente	269	230371	2014	619,69799
São Paulo	354030	Pontes Gestal	46	2577	2014	1,18542
São Paulo	351350	Cubatão	477	131626	2014	627,85602
São Paulo	351330	Cruzália	3	2046	2014	0,06138
São Paulo	354290	Ribeirão Bonito	196	13299	2014	26,06604
São Paulo	354280	Ribeira	0	3330	2014	0
São Paulo	351240	Cordeirópolis	49	24826	2014	12,16474
São Paulo	354270	Restinga	3	7679	2014	0,23037
São Paulo	351250	Coroados	88	6129	2014	5,39352
São Paulo	354260	Registro	25	56393	2014	14,09825
São Paulo	351260	Coronel Macedo	2	4635	2014	0,0927
São Paulo	354250	Reginópolis	1	9837	2014	0,09837
São Paulo	354240	Regente Feijó	8	20394	2014	1,63152
São Paulo	351270	Corumbataí	10	4064	2014	0,4064
São Paulo	354230	Redenção da Serra	8	3839	2014	0,30712
São Paulo	351290	Cosmorama	18	7298	2014	1,31364
São Paulo	354220	Rancharia	79	29726	2014	23,48354
São Paulo	351280	Cosmópolis	145	73474	2014	106,5373
São Paulo	354210	Rafard	11	9101	2014	1,00111
São Paulo	354200	Quintana	4	6688	2014	0,26752
São Paulo	351300	Cotia	422	253608	2014	1070,22576
São Paulo	354190	Queluz	9	13606	2014	1,22454
São Paulo	351310	Cravinhos	101	35579	2014	35,93479
São Paulo	354180	Queiroz	6	3460	2014	0,2076
São Paulo	351320	Cristais Paulista	3	8718	2014	0,26154
São Paulo	354170	Quatá	7	14210	2014	0,9947
São Paulo	354165	Quadra	0	3854	2014	0
São Paulo	352480	Jales	513	49201	2014	252,40113
São Paulo	354160	Promissão	496	40828	2014	202,50688
São Paulo	354150	Presidente Venceslau	22	39583	2014	8,70826
São Paulo	351230	Conchas	10	18019	2014	1,8019
São Paulo	351430	Dourado	27	8878	2014	2,39706
São Paulo	354020	Pontal	121	4674	2014	5,65554
São Paulo	353830	Piquerobi	3	3699	2014	0,11097
São Paulo	351519	Espírito Santo do Turvo	0	4878	2014	0
São Paulo	353820	Pinhalzinho	3	15388	2014	0,46164
São Paulo	355730	Estiva Gerbi	20	11407	2014	2,2814
São Paulo	353810	Pindorama	10	17216	2014	1,7216
São Paulo	353800	Pindamonhangaba	2985	170132	2014	5078,4402
São Paulo	351520	Estrela d'Oeste	213	8419	2014	17,93247
São Paulo	353790	Pilar do Sul	0	29402	2014	0
São Paulo	351530	Estrela do Norte	32	2770	2014	0,8864
São Paulo	353780	Piedade	5	55542	2014	2,7771
São Paulo	351535	Euclides da Cunha Paulista	23	9325	2014	2,14475
São Paulo	353770	Piacatu	49	6038	2014	2,95862
São Paulo	353760	Peruíbe	311	69001	2014	214,59311
São Paulo	351540	Fartura	3	16070	2014	0,4821
São Paulo	353750	Pereiras	5	8773	2014	0,43865
São Paulo	351560	Fernando Prestes	0	5794	2014	0
São Paulo	353740	Pereira Barreto	37	25677	2014	9,50049
São Paulo	351550	Fernandópolis	217	69402	2014	150,60234
São Paulo	353730	Penápolis	298	63757	2014	189,99586
São Paulo	353720	Pedro de Toledo	3	11421	2014	0,34263
São Paulo	351565	Fernão	0	1727	2014	0
São Paulo	353715	Pedrinhas Paulista	11	3101	2014	0,34111
São Paulo	351570	Ferraz de Vasconcelos	18	196500	2014	35,37
São Paulo	353710	Pedreira	1129	48463	2014	547,14727
São Paulo	351580	Flora Rica	14	1430	2014	0,2002
São Paulo	351518	Espírito Santo do Pinhal	15	44471	2014	6,67065
São Paulo	354025	Pontalinda	4	4674	2014	0,18696
São Paulo	353850	Piquete	4	13575	2014	0,543
São Paulo	351515	Engenheiro Coelho	14	21249	2014	2,97486
São Paulo	351440	Dracena	100	47043	2014	47,043
São Paulo	354010	Pongaí	0	3400	2014	0
São Paulo	351450	Duartina	16	12433	2014	1,98928
São Paulo	354000	Pompéia	107	22172	2014	23,72404
São Paulo	351460	Dumont	40	10023	2014	4,0092
São Paulo	353990	Poloni	1	6113	2014	0,06113
São Paulo	353970	Platina	5	3578	2014	0,1789
São Paulo	351470	Echaporã	4	6064	2014	0,24256
São Paulo	353960	Planalto	36	5304	2014	1,90944
São Paulo	351480	Eldorado	5	15544	2014	0,7772
São Paulo	353950	Pitangueiras	47	40080	2014	18,8376
São Paulo	351490	Elias Fausto	50	17936	2014	8,968
São Paulo	353940	Piratininga	0	13765	2014	0
São Paulo	353930	Pirassununga	103	76877	2014	79,18331
São Paulo	351492	Elisiário	5	3697	2014	0,18485
São Paulo	353920	Pirapozinho	20	27754	2014	5,5508
São Paulo	351495	Embaúba	0	2449	2014	0
São Paulo	353910	Pirapora do Bom Jesus	23	19178	2014	4,41094
São Paulo	351500	Embu das Artes	331	276535	2014	915,33085
São Paulo	353900	Pirangi	39	11471	2014	4,47369
São Paulo	353890	Pirajuí	16	25719	2014	4,11504
São Paulo	351510	Embu-Guaçu	11	69901	2014	7,68911
São Paulo	353880	Piraju	2	25719	2014	0,51438
São Paulo	351512	Emilianópolis	1	3227	2014	0,03227
São Paulo	353870	Piracicaba	940	407252	2014	3828,1688
São Paulo	353860	Piracaia	9	27462	2014	2,47158
São Paulo	353700	Pedregulho	13	16811	2014	2,18543
São Paulo	354300	Ribeirão Branco	0	16211	2014	0
São Paulo	354310	Ribeirão Corrente	52	4752	2014	2,47104
São Paulo	350880	Cafelândia	27	17843	2014	4,81761
São Paulo	354760	Santa Rosa de Viterbo	45	26753	2014	12,03885
São Paulo	350890	Caiabu	2	4193	2014	0,08386
São Paulo	354750	Santa Rita do Passa Quatro	64	27600	2014	17,664
São Paulo	354740	Santa Rita d'Oeste	3	2487	2014	0,07461
São Paulo	350900	Caieiras	497	102775	2014	510,79175
São Paulo	354710	Santa Mercedes	2	2943	2014	0,05886
São Paulo	350910	Caiuá	10	5946	2014	0,5946
São Paulo	354700	Santa Maria da Serra	43	6236	2014	2,68148
São Paulo	350920	Cajamar	263	77934	2014	204,96642
São Paulo	354690	Santa Lúcia	13	8854	2014	1,15102
São Paulo	354680	Santa Isabel	49	57966	2014	28,40334
São Paulo	350925	Cajati	4	28494	2014	1,13976
São Paulo	354670	Santa Gertrudes	55	27381	2014	15,05955
São Paulo	350930	Cajobi	91	10596	2014	9,64236
São Paulo	354660	Santa Fé do Sul	87	32563	2014	28,32981
São Paulo	350940	Cajuru	4	26393	2014	1,05572
São Paulo	354650	Santa Ernestina	1	5588	2014	0,05588
São Paulo	354640	Santa Cruz do Rio Pardo	59	47943	2014	28,28637
São Paulo	350945	Campina do Monte Alegre	2	6057	2014	0,12114
São Paulo	354630	Santa Cruz das Palmeiras	46	34737	2014	15,97902
São Paulo	350950	Campinas	43783	1213792	2014	531434,5514
