location,dateEnd,cases
Brazil,2000-01-31,23689.0
Brazil,2000-02-29,35817.0
Brazil,2000-03-31,45654.0
Brazil,2000-04-30,42947.0
Brazil,2000-05-31,34611.0
Brazil,2000-06-30,15786.0
Brazil,2000-07-31,9793.0
Brazil,2000-08-31,7500.0
Brazil,2000-09-30,4610.0
Brazil,2000-10-31,5173.0
Brazil,2000-11-30,7831.0
Brazil,2000-12-31,6459.0
Brazil,2001-01-31,31878.0
Brazil,2001-02-28,44311.0
Brazil,2001-03-31,62631.0
Brazil,2001-04-30,78440.0
Brazil,2001-05-31,72607.0
Brazil,2001-06-30,33524.0
Brazil,2001-07-31,16673.0
Brazil,2001-08-31,10431.0
Brazil,2001-09-30,7001.0
Brazil,2001-10-31,7917.0
Brazil,2001-11-30,10075.0
Brazil,2001-12-31,11372.0
Brazil,2002-01-31,93367.0
Brazil,2002-02-28,191316.0
Brazil,2002-03-31,220269.0
Brazil,2002-04-30,96300.0
Brazil,2002-05-31,39465.0
Brazil,2002-06-30,14850.0
Brazil,2002-07-31,8930.0
Brazil,2002-08-31,7017.0
Brazil,2002-09-30,5272.0
Brazil,2002-10-31,5884.0
Brazil,2002-11-30,9139.0
Brazil,2002-12-31,11389.0
Brazil,2003-01-31,26608.0
Brazil,2003-02-28,48803.0
Brazil,2003-03-31,66217.0
Brazil,2003-04-30,47432.0
Brazil,2003-05-31,35696.0
Brazil,2003-06-30,18159.0
Brazil,2003-07-31,9446.0
Brazil,2003-08-31,6797.0
Brazil,2003-09-30,4960.0
Brazil,2003-10-31,3988.0
Brazil,2003-11-30,4962.0
Brazil,2003-12-31,6071.0
Brazil,2004-01-31,7919.0
Brazil,2004-02-29,10555.0
Brazil,2004-03-31,14487.0
Brazil,2004-04-30,9218.0
Brazil,2004-05-31,7544.0
Brazil,2004-06-30,3760.0
Brazil,2004-07-31,2606.0
Brazil,2004-08-31,2219.0
Brazil,2004-09-30,1619.0
Brazil,2004-10-31,2133.0
Brazil,2004-11-30,4841.0
Brazil,2004-12-31,5425.0
Brazil,2005-01-31,10212.0
Brazil,2005-02-28,14058.0
Brazil,2005-03-31,22079.0
Brazil,2005-04-30,24473.0
Brazil,2005-05-31,21728.0
Brazil,2005-06-30,14931.0
Brazil,2005-07-31,12574.0
Brazil,2005-08-31,9260.0
Brazil,2005-09-30,5176.0
Brazil,2005-10-31,3911.0
Brazil,2005-11-30,5882.0
