location,dateEnd,cases
Center-West,2010-01-31,53328.0
Center-West,2010-02-28,50141.0
Center-West,2010-03-31,43276.0
Center-West,2010-04-30,27682.0
Center-West,2010-05-31,15270.0
Center-West,2010-06-30,4390.0
Center-West,2010-07-31,2097.0
Center-West,2010-08-31,1802.0
Center-West,2010-09-30,2228.0
Center-West,2010-10-31,2722.0
Center-West,2010-11-30,3888.0
Center-West,2010-12-31,8946.0
Center-West,2011-01-31,6255.0
Center-West,2011-02-28,6292.0
Center-West,2011-03-31,6874.0
Center-West,2011-04-30,6166.0
Center-West,2011-05-31,4326.0
Center-West,2011-06-30,1581.0
Center-West,2011-07-31,830.0
Center-West,2011-08-31,641.0
Center-West,2011-09-30,656.0
Center-West,2011-10-31,965.0
Center-West,2011-11-30,662.0
Center-West,2011-12-31,775.0
Center-West,2012-01-31,4823.0
Center-West,2012-02-29,6277.0
Center-West,2012-03-31,9025.0
Center-West,2012-04-30,10124.0
Center-West,2012-05-31,9186.0
Center-West,2012-06-30,5355.0
Center-West,2012-07-31,3384.0
Center-West,2012-08-31,2235.0
Center-West,2012-09-30,1836.0
Center-West,2012-10-31,2574.0
Center-West,2012-11-30,4751.0
Center-West,2012-12-31,8073.0
Center-West,2013-01-05,3478.0
Center-West,2013-01-12,10276.0
Center-West,2013-01-19,14280.0
Center-West,2013-01-26,16439.0
Center-West,2013-02-02,18704.0
Center-West,2013-02-09,17695.0
Center-West,2013-02-16,14128.0
Center-West,2013-02-23,17805.0
Center-West,2013-03-02,19102.0
Center-West,2013-03-09,18408.0
Center-West,2013-03-16,17867.0
Center-West,2013-03-23,16754.0
Center-West,2013-03-30,12680.0
Center-West,2013-04-06,14131.0
Center-West,2013-04-13,13744.0
Center-West,2013-04-20,13476.0
Center-West,2013-04-27,11348.0
Center-West,2013-05-04,8851.0
Center-West,2013-05-11,8042.0
Center-West,2013-05-18,8008.0
Center-West,2013-05-25,6724.0
Center-West,2013-06-01,4516.0
Center-West,2013-06-08,4511.0
Center-West,2013-06-15,3563.0
Center-West,2013-06-22,3139.0
Center-West,2013-06-29,2638.0
Center-West,2013-07-06,2139.0
Center-West,2013-07-13,1666.0
Center-West,2013-07-20,1437.0
Center-West,2013-07-27,1314.0
Center-West,2013-08-03,1095.0
Center-West,2013-08-10,1086.0
Center-West,2013-08-17,967.0
Center-West,2013-08-24,978.0
Center-West,2013-08-31,814.0
Center-West,2013-09-07,679.0
Center-West,2013-09-14,817.0
Center-West,2013-09-21,799.0
Center-West,2013-09-28,679.0
Center-West,2013-10-05,737.0
Center-West,2013-10-12,711.0
Center-West,2013-10-19,855.0
Center-West,2013-10-26,919.0
Center-West,2013-11-02,916.0
Center-West,2013-11-09,952.0
Center-West,2013-11-16,1063.0
Center-West,2013-11-23,1459.0
Center-West,2013-11-30,1510.0
Center-West,2013-12-07,1601.0
Center-West,2013-12-14,1771.0
Center-West,2013-12-21,1738.0
Center-West,2013-12-28,1170.0
Center-West,2014-01-04,1487.0
Center-West,2014-01-11,2660.0
Center-West,2014-01-18,3126.0
Center-West,2014-01-25,3570.0
Center-West,2014-02-01,4420.0
Center-West,2014-02-08,4981.0
Center-West,2014-02-15,5264.0
Center-West,2014-02-22,5363.0
Center-West,2014-03-01,5417.0
Center-West,2014-03-08,3465.0
Center-West,2014-03-15,5191.0
Center-West,2014-03-22,5479.0
Center-West,2014-03-29,6121.0
Center-West,2014-04-05,6483.0
Center-West,2014-04-12,6739.0
Center-West,2014-04-19,6091.0
Center-West,2014-04-26,7000.0
Center-West,2014-05-03,6522.0
Center-West,2014-05-10,7338.0
Center-West,2014-05-17,6575.0
Center-West,2014-05-24,6780.0
Center-West,2014-05-31,5980.0
Center-West,2014-06-07,5557.0
Center-West,2014-06-14,3934.0
Center-West,2014-06-21,2896.0
Center-West,2014-06-28,2805.0
Center-West,2014-07-05,2171.0
Center-West,2014-07-12,1962.0
Center-West,2014-07-19,1706.0
Center-West,2014-07-26,1549.0
Center-West,2014-08-02,1285.0
Center-West,2014-08-09,1199.0
Center-West,2014-08-16,1063.0
Center-West,2014-08-23,1109.0
Center-West,2014-08-30,885.0
Center-West,2014-09-06,750.0
Center-West,2014-09-13,830.0
Center-West,2014-09-20,866.0
Center-West,2014-09-27,860.0
Center-West,2014-10-04,877.0
Center-West,2014-10-11,986.0
Center-West,2014-10-18,1018.0
Center-West,2014-10-25,1059.0
Center-West,2014-11-01,1051.0
Center-West,2014-11-08,1189.0
Center-West,2014-11-15,1132.0
Center-West,2014-11-22,1462.0
Center-West,2014-11-29,1449.0
Center-West,2014-12-06,1418.0
Center-West,2014-12-13,1575.0
Center-West,2014-12-20,1626.0
Center-West,2014-12-27,1057.0
Center-West,2015-01-03,1320.0
Center-West,2015-01-10,2672.0
Center-West,2015-01-17,3331.0
Center-West,2015-01-24,4660.0
Center-West,2015-01-31,5647.0
Center-West,2015-02-07,6515.0
Center-West,2015-02-14,7102.0
Center-West,2015-02-21,5705.0
Center-West,2015-02-28,9038.0
Center-West,2015-03-07,9170.0
Center-West,2015-03-14,10610.0
Center-West,2015-03-21,11666.0
Center-West,2015-03-28,12085.0
Center-West,2015-04-04,9586.0
Center-West,2015-04-11,13713.0
Center-West,2015-04-18,12545.0
Center-West,2015-04-25,10880.0
Center-West,2015-05-02,13938.0
Center-West,2015-05-09,15620.0
Center-West,2015-05-16,13954.0
Center-West,2015-05-23,12072.0
Center-West,2015-05-30,10720.0
Center-West,2015-06-06,7445.0
Center-West,2015-06-13,8336.0
Center-West,2015-06-20,6870.0
Center-West,2015-06-27,4847.0
Center-West,2015-07-04,3741.0
Center-West,2015-07-11,2346.0
Center-West,2015-07-18,2215.0
Center-West,2015-07-25,2004.0
Center-West,2015-08-01,2050.0
Center-West,2015-08-08,1794.0
Center-West,2015-08-15,1442.0
Center-West,2015-08-22,1306.0
Center-West,2015-08-29,1152.0
Center-West,2015-09-05,1021.0
Center-West,2015-09-12,854.0
Center-West,2015-09-19,975.0
Center-West,2015-09-26,981.0
Center-West,2015-10-03,991.0
Center-West,2015-10-10,1094.0
Center-West,2015-10-17,1166.0
Center-West,2015-10-24,1360.0
Center-West,2015-10-31,1381.0
Center-West,2015-11-07,1621.0
Center-West,2015-11-14,2304.0
Center-West,2015-11-21,2639.0
Center-West,2015-11-28,3322.0
Center-West,2015-12-05,4891.0
Center-West,2015-12-12,5997.0
Center-West,2015-12-19,6155.0
Center-West,2015-12-26,5057.0
Center-West,2016-01-02,5502.0
Center-West,2016-01-09,10449.0
Center-West,2016-01-16,12500.0
Center-West,2016-01-23,13321.0
Center-West,2016-01-30,14228.0
Center-West,2016-02-06,15941.0
Center-West,2016-02-13,13964.0
Center-West,2016-02-20,18432.0
Center-West,2016-02-27,18139.0
Center-West,2016-03-05,17051.0
Center-West,2016-03-12,15556.0
Center-West,2016-03-19,14423.0
Center-West,2016-03-26,10553.0
Center-West,2016-04-02,13134.0
Center-West,2016-04-09,11436.0
Center-West,2016-04-16,10031.0
Center-West,2016-04-23,7388.0
Center-West,2016-04-30,7505.0
Center-West,2016-05-07,5797.0
Center-West,2016-05-14,4910.0
Center-West,2016-05-21,3853.0
Center-West,2016-05-28,2536.0
Center-West,2016-06-04,2557.0
Center-West,2016-06-11,2034.0
Center-West,2016-06-18,1666.0
Center-West,2016-06-25,1393.0
Center-West,2016-07-02,1087.0
Center-West,2016-07-09,808.0
Center-West,2016-07-16,816.0
Center-West,2016-07-23,648.0
Center-West,2016-07-30,673.0
Center-West,2016-08-06,595.0
Center-West,2016-08-13,600.0
Center-West,2016-08-20,670.0
Center-West,2016-08-27,630.0
Center-West,2016-09-03,613.0
Center-West,2016-09-10,559.0
Center-West,2016-09-17,682.0
Center-West,2016-09-24,666.0
Center-West,2016-10-01,764.0
