location,dateEnd,cases
North,2010-01-31,16723.0
North,2010-02-28,16785.0
North,2010-03-31,12801.0
North,2010-04-30,8096.0
North,2010-05-31,5920.0
North,2010-06-30,5204.0
North,2010-07-31,3759.0
North,2010-08-31,3567.0
North,2010-09-30,2855.0
North,2010-10-31,3349.0
North,2010-11-30,7396.0
North,2010-12-31,11220.0
North,2011-01-31,24745.0
North,2011-02-28,33478.0
North,2011-03-31,27647.0
North,2011-04-30,10210.0
North,2011-05-31,5412.0
North,2011-06-30,3123.0
North,2011-07-31,1752.0
North,2011-08-31,1634.0
North,2011-09-30,1406.0
North,2011-10-31,1337.0
North,2011-11-30,1228.0
North,2011-12-31,2247.0
North,2012-01-31,6070.0
North,2012-02-29,7355.0
North,2012-03-31,6583.0
North,2012-04-30,4512.0
North,2012-05-31,3281.0
North,2012-06-30,2120.0
North,2012-07-31,1863.0
North,2012-08-31,1961.0
North,2012-09-30,1484.0
North,2012-10-31,1533.0
North,2012-11-30,2449.0
North,2012-12-31,3080.0
North,2013-01-05,825.0
North,2013-01-12,2322.0
North,2013-01-19,3308.0
North,2013-01-26,4280.0
North,2013-02-02,5077.0
North,2013-02-09,4903.0
North,2013-02-16,3690.0
North,2013-02-23,4967.0
North,2013-03-02,4885.0
North,2013-03-09,4427.0
North,2013-03-16,3934.0
North,2013-03-23,3956.0
North,2013-03-30,2948.0
North,2013-04-06,3517.0
North,2013-04-13,3355.0
North,2013-04-20,3235.0
North,2013-04-27,3012.0
North,2013-05-04,1968.0
North,2013-05-11,2050.0
North,2013-05-18,1942.0
North,2013-05-25,1599.0
North,2013-06-01,1144.0
North,2013-06-08,1243.0
North,2013-06-15,1098.0
North,2013-06-22,882.0
North,2013-06-29,747.0
North,2013-07-06,673.0
North,2013-07-13,578.0
North,2013-07-20,532.0
North,2013-07-27,395.0
North,2013-08-03,451.0
North,2013-08-10,568.0
North,2013-08-17,420.0
North,2013-08-24,432.0
North,2013-08-31,390.0
North,2013-09-07,401.0
North,2013-09-14,406.0
North,2013-09-21,468.0
North,2013-09-28,457.0
North,2013-10-05,444.0
North,2013-10-12,395.0
North,2013-10-19,391.0
North,2013-10-26,536.0
North,2013-11-02,456.0
North,2013-11-09,634.0
North,2013-11-16,649.0
North,2013-11-23,900.0
North,2013-11-30,937.0
North,2013-12-07,968.0
North,2013-12-14,926.0
North,2013-12-21,943.0
North,2013-12-28,628.0
North,2014-01-04,677.0
North,2014-01-11,1224.0
North,2014-01-18,1220.0
North,2014-01-25,1295.0
North,2014-02-01,1431.0
North,2014-02-08,1385.0
North,2014-02-15,1345.0
North,2014-02-22,1588.0
North,2014-03-01,1568.0
North,2014-03-08,1080.0
North,2014-03-15,1539.0
North,2014-03-22,1735.0
North,2014-03-29,1651.0
North,2014-04-05,1744.0
