location,dateEnd,cases
Northeast,2010-01-31,4776.0
Northeast,2010-02-28,8633.0
Northeast,2010-03-31,20109.0
Northeast,2010-04-30,22379.0
Northeast,2010-05-31,28725.0
Northeast,2010-06-30,24101.0
Northeast,2010-07-31,19074.0
Northeast,2010-08-31,12969.0
Northeast,2010-09-30,7942.0
Northeast,2010-10-31,6392.0
Northeast,2010-11-30,7051.0
Northeast,2010-12-31,7447.0
Northeast,2011-01-31,13579.0
Northeast,2011-02-28,21846.0
Northeast,2011-03-31,35575.0
Northeast,2011-04-30,37871.0
Northeast,2011-05-31,27280.0
Northeast,2011-06-30,14931.0
Northeast,2011-07-31,8381.0
Northeast,2011-08-31,5554.0
Northeast,2011-09-30,3423.0
Northeast,2011-10-31,2727.0
Northeast,2011-11-30,1689.0
Northeast,2011-12-31,1990.0
Northeast,2012-01-31,13284.0
Northeast,2012-02-29,18503.0
Northeast,2012-03-31,33477.0
Northeast,2012-04-30,45348.0
Northeast,2012-05-31,53608.0
Northeast,2012-06-30,20814.0
Northeast,2012-07-31,12765.0
Northeast,2012-08-31,7774.0
Northeast,2012-09-30,4073.0
Northeast,2012-10-31,2731.0
Northeast,2012-11-30,2949.0
Northeast,2012-12-31,3889.0
Northeast,2013-01-05,711.0
Northeast,2013-01-12,2010.0
Northeast,2013-01-19,2788.0
Northeast,2013-01-26,3316.0
Northeast,2013-02-02,4143.0
Northeast,2013-02-09,4681.0
Northeast,2013-02-16,3752.0
Northeast,2013-02-23,6931.0
Northeast,2013-03-02,8663.0
Northeast,2013-03-09,8630.0
Northeast,2013-03-16,9017.0
Northeast,2013-03-23,9332.0
Northeast,2013-03-30,7364.0
Northeast,2013-04-06,9422.0
Northeast,2013-04-13,10459.0
Northeast,2013-04-20,10045.0
Northeast,2013-04-27,9050.0
Northeast,2013-05-04,7608.0
Northeast,2013-05-11,8242.0
Northeast,2013-05-18,7901.0
Northeast,2013-05-25,7732.0
Northeast,2013-06-01,6199.0
Northeast,2013-06-08,6441.0
Northeast,2013-06-15,5799.0
Northeast,2013-06-22,5702.0
Northeast,2013-06-29,4928.0
Northeast,2013-07-06,4629.0
Northeast,2013-07-13,4558.0
Northeast,2013-07-20,4558.0
Northeast,2013-07-27,3873.0
Northeast,2013-08-03,3903.0
Northeast,2013-08-10,3821.0
Northeast,2013-08-17,3484.0
Northeast,2013-08-24,3373.0
Northeast,2013-08-31,2966.0
Northeast,2013-09-07,2374.0
Northeast,2013-09-14,2194.0
Northeast,2013-09-21,1928.0
Northeast,2013-09-28,1819.0
Northeast,2013-10-05,1742.0
Northeast,2013-10-12,1475.0
Northeast,2013-10-19,1325.0
Northeast,2013-10-26,1343.0
Northeast,2013-11-02,1156.0
Northeast,2013-11-09,1147.0
Northeast,2013-11-16,1091.0
Northeast,2013-11-23,1442.0
Northeast,2013-11-30,1521.0
Northeast,2013-12-07,1241.0
Northeast,2013-12-14,1309.0
Northeast,2013-12-21,1085.0
Northeast,2013-12-28,720.0
Northeast,2014-01-04,710.0
Northeast,2014-01-11,1288.0
Northeast,2014-01-18,1493.0
Northeast,2014-01-25,1746.0
Northeast,2014-02-01,2022.0
Northeast,2014-02-08,2098.0
Northeast,2014-02-15,2416.0
Northeast,2014-02-22,2582.0
Northeast,2014-03-01,2253.0
Northeast,2014-03-08,1600.0
Northeast,2014-03-15,2603.0
Northeast,2014-03-22,2725.0
Northeast,2014-03-29,3171.0
Northeast,2014-04-05,3603.0
Northeast,2014-04-12,4211.0
Northeast,2014-04-19,3529.0
Northeast,2014-04-26,4581.0
Northeast,2014-05-03,4361.0
Northeast,2014-05-10,5321.0
Northeast,2014-05-17,5657.0
Northeast,2014-05-24,6212.0
Northeast,2014-05-31,5926.0
Northeast,2014-06-07,5622.0
Northeast,2014-06-14,4776.0
Northeast,2014-06-21,4184.0
Northeast,2014-06-28,3755.0
Northeast,2014-07-05,4034.0
Northeast,2014-07-12,3944.0
Northeast,2014-07-19,3771.0
Northeast,2014-07-26,3365.0
Northeast,2014-08-02,3177.0
Northeast,2014-08-09,2725.0
Northeast,2014-08-16,2513.0
Northeast,2014-08-23,2263.0
Northeast,2014-08-30,2127.0
Northeast,2014-09-06,1974.0
Northeast,2014-09-13,1804.0
Northeast,2014-09-20,1593.0
Northeast,2014-09-27,1714.0
Northeast,2014-10-04,1632.0
Northeast,2014-10-11,1532.0
Northeast,2014-10-18,1525.0
Northeast,2014-10-25,1459.0
Northeast,2014-11-01,1290.0
Northeast,2014-11-08,1367.0
Northeast,2014-11-15,1389.0
Northeast,2014-11-22,1344.0
Northeast,2014-11-29,1336.0
Northeast,2014-12-06,1440.0
Northeast,2014-12-13,1420.0
Northeast,2014-12-20,1480.0
Northeast,2014-12-27,1096.0
Northeast,2015-01-03,1101.0
Northeast,2015-01-10,2111.0
Northeast,2015-01-17,2396.0
Northeast,2015-01-24,2881.0
Northeast,2015-01-31,3450.0
Northeast,2015-02-07,3961.0
Northeast,2015-02-14,4694.0
Northeast,2015-02-21,3708.0
Northeast,2015-02-28,7114.0
Northeast,2015-03-07,8497.0
Northeast,2015-03-14,12590.0
Northeast,2015-03-21,15261.0
Northeast,2015-03-28,19086.0
Northeast,2015-04-04,15313.0
Northeast,2015-04-11,20676.0
Northeast,2015-04-18,23067.0
Northeast,2015-04-25,20064.0
Northeast,2015-05-02,20149.0
Northeast,2015-05-09,22483.0
Northeast,2015-05-16,21672.0
Northeast,2015-05-23,20522.0
Northeast,2015-05-30,18397.0
Northeast,2015-06-06,14342.0
Northeast,2015-06-13,13766.0
Northeast,2015-06-20,12557.0
Northeast,2015-06-27,9197.0
Northeast,2015-07-04,8788.0
Northeast,2015-07-11,8598.0
Northeast,2015-07-18,7396.0
Northeast,2015-07-25,6903.0
Northeast,2015-08-01,6040.0
Northeast,2015-08-08,5236.0
Northeast,2015-08-15,4715.0
Northeast,2015-08-22,4286.0
Northeast,2015-08-29,4094.0
Northeast,2015-09-05,4063.0
Northeast,2015-09-12,3781.0
Northeast,2015-09-19,3892.0
Northeast,2015-09-26,3847.0
Northeast,2015-10-03,3515.0
Northeast,2015-10-10,3665.0
Northeast,2015-10-17,3289.0
Northeast,2015-10-24,3843.0
Northeast,2015-10-31,4384.0
Northeast,2015-11-07,5386.0
Northeast,2015-11-14,7387.0
Northeast,2015-11-21,9122.0
Northeast,2015-11-28,8829.0
Northeast,2015-12-05,11226.0
Northeast,2015-12-12,10957.0
Northeast,2015-12-19,11607.0
Northeast,2015-12-26,7438.0
Northeast,2016-01-02,6849.0
Northeast,2016-01-09,11846.0
Northeast,2016-01-16,12034.0
Northeast,2016-01-23,14445.0
Northeast,2016-01-30,17781.0
Northeast,2016-02-06,19448.0
Northeast,2016-02-13,16758.0
Northeast,2016-02-20,31811.0
Northeast,2016-02-27,32393.0
Northeast,2016-03-05,30843.0
Northeast,2016-03-12,28931.0
Northeast,2016-03-19,25025.0
Northeast,2016-03-26,18499.0
Northeast,2016-04-02,21649.0
Northeast,2016-04-09,18117.0
Northeast,2016-04-16,17042.0
Northeast,2016-04-23,14692.0
Northeast,2016-04-30,15346.0
Northeast,2016-05-07,13689.0
Northeast,2016-05-14,11932.0
Northeast,2016-05-21,12216.0
Northeast,2016-05-28,9861.0
Northeast,2016-06-04,8824.0
Northeast,2016-06-11,8130.0
Northeast,2016-06-18,7643.0
Northeast,2016-06-25,5994.0
Northeast,2016-07-02,6007.0
Northeast,2016-07-09,5104.0
Northeast,2016-07-16,4340.0
Northeast,2016-07-23,3786.0
Northeast,2016-07-30,3193.0
Northeast,2016-08-06,2856.0
Northeast,2016-08-13,2617.0
Northeast,2016-08-20,2522.0
Northeast,2016-08-27,2230.0
Northeast,2016-09-03,2156.0
Northeast,2016-09-10,1589.0
Northeast,2016-09-17,1533.0
Northeast,2016-09-24,1456.0
Northeast,2016-10-01,1269.0
Northeast,2016-10-08,1281.0
Northeast,2016-10-15,1040.0
Northeast,2016-10-22,1410.0
Northeast,2016-10-29,1284.0
Northeast,2016-11-05,1148.0
Northeast,2016-11-12,1355.0
Northeast,2016-11-19,1224.0
Northeast,2016-11-26,1406.0
Northeast,2016-12-03,1407.0
Northeast,2016-12-10,1316.0
Northeast,2016-12-17,1203.0
Northeast,2016-12-24,1036.0
Northeast,2016-12-31,1169.0
Northeast,2017-01-21,3383.0
Northeast,2017-02-04,3368.0
Northeast,2017-02-11,2029.0
Northeast,2017-02-18,2506.0
Northeast,2017-02-25,2433.5
Northeast,2017-03-04,2447.5
Northeast,2017-03-11,2558.0
Northeast,2017-03-18,3898.0
Northeast,2017-03-25,3244.0
Northeast,2017-04-01,3764.0
Northeast,2017-04-08,4397.0
Northeast,2017-04-15,4843.0
Northeast,2017-04-22,4525.0
Northeast,2017-04-29,4149.0
Northeast,2017-05-13,6778.0
Northeast,2017-05-27,5634.0
Northeast,2017-06-10,4488.0
Northeast,2017-06-24,3383.0
Northeast,2017-07-15,3208.0
Northeast,2017-07-29,775.0
Northeast,2017-08-12,1784.0
Northeast,2017-08-26,1557.0
Northeast,2017-09-09,657.0
Northeast,2017-09-23,1728.0
Northeast,2017-10-14,1425.0
Northeast,2017-10-21,512.0
Northeast,2017-10-28,426.0
Northeast,2017-11-04,477.0
Northeast,2017-11-11,512.0
Northeast,2017-11-25,856.0
Northeast,2017-12-02,413.0
Northeast,2017-12-09,428.0
Northeast,2017-12-16,471.0
Northeast,2017-12-30,545.0
Northeast,2018-01-06,796.0
