location,dateEnd,cases
South,2010-01-31,815.0
South,2010-02-28,4542.0
South,2010-03-31,13460.0
South,2010-04-30,13735.0
South,2010-05-31,5995.0
South,2010-06-30,850.0
South,2010-07-31,248.0
South,2010-08-31,121.0
South,2010-09-30,160.0
South,2010-10-31,192.0
South,2010-11-30,338.0
South,2010-12-31,1183.0
South,2011-01-31,2570.0
South,2011-02-28,6732.0
South,2011-03-31,10651.0
South,2011-04-30,6457.0
South,2011-05-31,2237.0
South,2011-06-30,207.0
South,2011-07-31,45.0
South,2011-08-31,37.0
South,2011-09-30,45.0
South,2011-10-31,75.0
South,2011-11-30,74.0
South,2011-12-31,234.0
South,2012-01-31,194.0
South,2012-02-29,400.0
South,2012-03-31,984.0
South,2012-04-30,990.0
South,2012-05-31,656.0
South,2012-06-30,180.0
South,2012-07-31,66.0
South,2012-08-31,62.0
South,2012-09-30,43.0
South,2012-10-31,81.0
South,2012-11-30,206.0
South,2012-12-31,940.0
South,2013-01-05,477.0
South,2013-01-12,1152.0
South,2013-01-19,1862.0
South,2013-01-26,2476.0
South,2013-02-02,2952.0
South,2013-02-09,3580.0
South,2013-02-16,3510.0
South,2013-02-23,5169.0
South,2013-03-02,6784.0
South,2013-03-09,7280.0
South,2013-03-16,7810.0
South,2013-03-23,8020.0
South,2013-03-30,7083.0
South,2013-04-06,7966.0
South,2013-04-13,7803.0
South,2013-04-20,7167.0
South,2013-04-27,6105.0
South,2013-05-04,4384.0
South,2013-05-11,3306.0
South,2013-05-18,3190.0
South,2013-05-25,2462.0
South,2013-06-01,1396.0
South,2013-06-08,1342.0
South,2013-06-15,1185.0
South,2013-06-22,772.0
South,2013-06-29,561.0
South,2013-07-06,482.0
South,2013-07-13,452.0
South,2013-07-20,337.0
South,2013-07-27,148.0
South,2013-08-03,222.0
South,2013-08-10,267.0
South,2013-08-17,168.0
South,2013-08-24,227.0
South,2013-08-31,193.0
South,2013-09-07,211.0
South,2013-09-14,275.0
South,2013-09-21,224.0
South,2013-09-28,176.0
South,2013-10-05,208.0
South,2013-10-12,241.0
South,2013-10-19,337.0
South,2013-10-26,418.0
South,2013-11-02,430.0
South,2013-11-09,522.0
South,2013-11-16,453.0
South,2013-11-23,580.0
South,2013-11-30,615.0
South,2013-12-07,633.0
South,2013-12-14,679.0
South,2013-12-21,720.0
South,2013-12-28,566.0
South,2014-01-04,585.0
South,2014-01-11,930.0
South,2014-01-18,905.0
South,2014-01-25,1122.0
South,2014-02-01,1308.0
South,2014-02-08,1358.0
South,2014-02-15,1481.0
South,2014-02-22,1682.0
South,2014-03-01,1743.0
South,2014-03-08,1468.0
South,2014-03-15,2010.0
South,2014-03-22,2482.0
South,2014-03-29,2889.0
South,2014-04-05,2777.0
South,2014-04-12,3281.0
South,2014-04-19,2661.0
South,2014-04-26,2858.0
South,2014-05-03,2449.0
South,2014-05-10,2923.0
South,2014-05-17,2428.0
South,2014-05-24,2420.0
South,2014-05-31,1459.0
South,2014-06-07,1098.0
South,2014-06-14,1006.0
South,2014-06-21,804.0
South,2014-06-28,922.0
South,2014-07-05,670.0
South,2014-07-12,561.0
South,2014-07-19,584.0
South,2014-07-26,536.0
South,2014-08-02,425.0
South,2014-08-09,424.0
South,2014-08-16,472.0
South,2014-08-23,469.0
South,2014-08-30,365.0
South,2014-09-06,422.0
South,2014-09-13,398.0
South,2014-09-20,355.0
South,2014-09-27,237.0
South,2014-10-04,316.0
South,2014-10-11,366.0
South,2014-10-18,382.0
South,2014-10-25,331.0
South,2014-11-01,371.0
South,2014-11-08,385.0
South,2014-11-15,386.0
South,2014-11-22,398.0
South,2014-11-29,409.0
South,2014-12-06,419.0
South,2014-12-13,390.0
South,2014-12-20,392.0
South,2014-12-27,191.0
South,2015-01-03,283.0
South,2015-01-10,553.0
South,2015-01-17,685.0
South,2015-01-24,937.0
South,2015-01-31,1186.0
South,2015-02-07,1775.0
South,2015-02-14,2056.0
South,2015-02-21,1807.0
South,2015-02-28,2736.0
South,2015-03-07,3498.0
South,2015-03-14,4464.0
South,2015-03-21,5947.0
South,2015-03-28,6915.0
South,2015-04-04,6227.0
South,2015-04-11,7982.0
South,2015-04-18,8872.0
South,2015-04-25,6591.0
South,2015-05-02,5925.0
South,2015-05-09,5742.0
South,2015-05-16,3775.0
South,2015-05-23,3245.0
South,2015-05-30,2672.0
South,2015-06-06,1818.0
South,2015-06-13,1991.0
South,2015-06-20,1316.0
South,2015-06-27,1191.0
South,2015-07-04,875.0
South,2015-07-11,547.0
South,2015-07-18,640.0
South,2015-07-25,652.0
South,2015-08-01,767.0
South,2015-08-08,740.0
South,2015-08-15,751.0
South,2015-08-22,701.0
South,2015-08-29,568.0
South,2015-09-05,564.0
South,2015-09-12,469.0
South,2015-09-19,585.0
South,2015-09-26,640.0
South,2015-10-03,527.0
South,2015-10-10,595.0
South,2015-10-17,567.0
South,2015-10-24,649.0
South,2015-10-31,610.0
