location,dateEnd,cases
Southeast,2010-01-31,28217.0
Southeast,2010-02-28,68044.0
Southeast,2010-03-31,125533.0
Southeast,2010-04-30,122312.0
Southeast,2010-05-31,75407.0
Southeast,2010-06-30,16449.0
Southeast,2010-07-31,6276.0
Southeast,2010-08-31,3788.0
Southeast,2010-09-30,2259.0
Southeast,2010-10-31,1830.0
Southeast,2010-11-30,3495.0
Southeast,2010-12-31,7196.0
Southeast,2011-01-31,15675.0
Southeast,2011-02-28,37385.0
Southeast,2011-03-31,65804.0
Southeast,2011-04-30,104374.0
Southeast,2011-05-31,73386.0
Southeast,2011-06-30,17886.0
Southeast,2011-07-31,5471.0
Southeast,2011-08-31,2765.0
Southeast,2011-09-30,2532.0
Southeast,2011-10-31,3338.0
Southeast,2011-11-30,2780.0
Southeast,2011-12-31,3429.0
Southeast,2012-01-31,13216.0
Southeast,2012-02-29,20794.0
Southeast,2012-03-31,43016.0
Southeast,2012-04-30,61256.0
Southeast,2012-05-31,50522.0
Southeast,2012-06-30,23344.0
Southeast,2012-07-31,7952.0
Southeast,2012-08-31,4536.0
Southeast,2012-09-30,2942.0
Southeast,2012-10-31,3233.0
Southeast,2012-11-30,4713.0
Southeast,2012-12-31,12365.0
Southeast,2013-01-05,5435.0
Southeast,2013-01-12,13557.0
Southeast,2013-01-19,19137.0
Southeast,2013-01-26,22503.0
Southeast,2013-02-02,25571.0
Southeast,2013-02-09,29279.0
Southeast,2013-02-16,28067.0
Southeast,2013-02-23,46759.0
Southeast,2013-03-02,62946.0
Southeast,2013-03-09,75373.0
Southeast,2013-03-16,89103.0
Southeast,2013-03-23,100780.0
Southeast,2013-03-30,82982.0
Southeast,2013-04-06,102514.0
Southeast,2013-04-13,102415.0
Southeast,2013-04-20,96951.0
Southeast,2013-04-27,70979.0
Southeast,2013-05-04,48897.0
Southeast,2013-05-11,38215.0
Southeast,2013-05-18,36839.0
Southeast,2013-05-25,28115.0
Southeast,2013-06-01,15774.0
Southeast,2013-06-08,14830.0
Southeast,2013-06-15,11834.0
Southeast,2013-06-22,8974.0
Southeast,2013-06-29,6478.0
Southeast,2013-07-06,5171.0
Southeast,2013-07-13,3844.0
Southeast,2013-07-20,3366.0
Southeast,2013-07-27,2564.0
Southeast,2013-08-03,2064.0
Southeast,2013-08-10,2303.0
Southeast,2013-08-17,1946.0
Southeast,2013-08-24,1805.0
Southeast,2013-08-31,1609.0
Southeast,2013-09-07,1853.0
Southeast,2013-09-14,1744.0
Southeast,2013-09-21,1779.0
Southeast,2013-09-28,1785.0
Southeast,2013-10-05,1487.0
Southeast,2013-10-12,1506.0
Southeast,2013-10-19,1748.0
Southeast,2013-10-26,2039.0
Southeast,2013-11-02,1747.0
Southeast,2013-11-09,1743.0
Southeast,2013-11-16,1843.0
Southeast,2013-11-23,2212.0
Southeast,2013-11-30,2398.0
Southeast,2013-12-07,2533.0
Southeast,2013-12-14,2908.0
Southeast,2013-12-21,2895.0
Southeast,2013-12-28,2019.0
Southeast,2014-01-04,2392.0
Southeast,2014-01-11,4460.0
Southeast,2014-01-18,5133.0
Southeast,2014-01-25,5722.0
Southeast,2014-02-01,6659.0
Southeast,2014-02-08,7258.0
Southeast,2014-02-15,9172.0
Southeast,2014-02-22,10510.0
Southeast,2014-03-01,11015.0
Southeast,2014-03-08,9087.0
Southeast,2014-03-15,13256.0
Southeast,2014-03-22,16194.0
Southeast,2014-03-29,21529.0
Southeast,2014-04-05,25480.0
Southeast,2014-04-12,33854.0
Southeast,2014-04-19,33545.0
Southeast,2014-04-26,40719.0
Southeast,2014-05-03,35462.0
Southeast,2014-05-10,34988.0
Southeast,2014-05-17,28226.0
Southeast,2014-05-24,24566.0
Southeast,2014-05-31,18837.0
Southeast,2014-06-07,14496.0
Southeast,2014-06-14,11022.0
Southeast,2014-06-21,7893.0
Southeast,2014-06-28,7991.0
Southeast,2014-07-05,5696.0
Southeast,2014-07-12,4419.0
Southeast,2014-07-19,4263.0
Southeast,2014-07-26,3759.0
Southeast,2014-08-02,3026.0
Southeast,2014-08-09,2856.0
Southeast,2014-08-16,2647.0
Southeast,2014-08-23,2541.0
Southeast,2014-08-30,2617.0
Southeast,2014-09-06,2363.0
Southeast,2014-09-13,2496.0
Southeast,2014-09-20,2596.0
Southeast,2014-09-27,2554.0
Southeast,2014-10-04,2786.0
Southeast,2014-10-11,2679.0
Southeast,2014-10-18,2879.0
Southeast,2014-10-25,2884.0
Southeast,2014-11-01,2669.0
Southeast,2014-11-08,2827.0
Southeast,2014-11-15,3072.0
Southeast,2014-11-22,2859.0
Southeast,2014-11-29,2899.0
Southeast,2014-12-06,3016.0
Southeast,2014-12-13,3210.0
Southeast,2014-12-20,3336.0
Southeast,2014-12-27,2345.0
Southeast,2015-01-03,3420.0
Southeast,2015-01-10,7730.0
Southeast,2015-01-17,10541.0
Southeast,2015-01-24,15538.0
Southeast,2015-01-31,23732.0
Southeast,2015-02-07,30170.0
Southeast,2015-02-14,38873.0
Southeast,2015-02-21,35295.0
Southeast,2015-02-28,55582.0
Southeast,2015-03-07,67935.0
Southeast,2015-03-14,80389.0
Southeast,2015-03-21,90506.0
Southeast,2015-03-28,94857.0
Southeast,2015-04-04,74647.0
Southeast,2015-04-11,87371.0
Southeast,2015-04-18,93262.0
Southeast,2015-04-25,79128.0
Southeast,2015-05-02,78482.0
Southeast,2015-05-09,76823.0
Southeast,2015-05-16,60773.0
Southeast,2015-05-23,45422.0
Southeast,2015-05-30,35099.0
Southeast,2015-06-06,20680.0
Southeast,2015-06-13,22016.0
Southeast,2015-06-20,16769.0
Southeast,2015-06-27,12312.0
Southeast,2015-07-04,9515.0
Southeast,2015-07-11,6126.0
Southeast,2015-07-18,6118.0
Southeast,2015-07-25,5269.0
Southeast,2015-08-01,5184.0
Southeast,2015-08-08,4593.0
Southeast,2015-08-15,4118.0
Southeast,2015-08-22,4101.0
Southeast,2015-08-29,3373.0
Southeast,2015-09-05,3465.0
Southeast,2015-09-12,2643.0
Southeast,2015-09-19,3452.0
Southeast,2015-09-26,4087.0
Southeast,2015-10-03,3864.0
Southeast,2015-10-10,4132.0
Southeast,2015-10-17,3988.0
Southeast,2015-10-24,4783.0
Southeast,2015-10-31,4511.0
Southeast,2015-11-07,4788.0
Southeast,2015-11-14,6034.0
Southeast,2015-11-21,6639.0
Southeast,2015-11-28,8176.0
Southeast,2015-12-05,10380.0
Southeast,2015-12-12,12541.0
Southeast,2015-12-19,16139.0
Southeast,2015-12-26,12887.0
Southeast,2016-01-02,16738.0
Southeast,2016-01-09,32276.0
Southeast,2016-01-16,36299.0
Southeast,2016-01-23,42628.0
Southeast,2016-01-30,47004.0
Southeast,2016-02-06,57613.0
Southeast,2016-02-13,52719.0
Southeast,2016-02-20,81048.0
Southeast,2016-02-27,91174.0
Southeast,2016-03-05,89363.0
Southeast,2016-03-12,86673.0
Southeast,2016-03-19,85158.0
Southeast,2016-03-26,69778.0
Southeast,2016-04-02,82027.0
Southeast,2016-04-09,75978.0
Southeast,2016-04-16,71230.0
Southeast,2016-04-23,52026.0
Southeast,2016-04-30,52144.0
Southeast,2016-05-07,38528.0
Southeast,2016-05-14,26158.0
Southeast,2016-05-21,20552.0
Southeast,2016-05-28,12241.0
Southeast,2016-06-04,11023.0
Southeast,2016-06-11,8177.0
Southeast,2016-06-18,5212.0
Southeast,2016-06-25,3931.0
Southeast,2016-07-02,3275.0
Southeast,2016-07-09,3093.0
Southeast,2016-07-16,2460.0
Southeast,2016-07-23,2022.0
Southeast,2016-07-30,1925.0
Southeast,2016-08-06,1706.0
Southeast,2016-08-13,1689.0
Southeast,2016-08-20,1792.0
Southeast,2016-08-27,1619.0
Southeast,2016-09-03,1808.0
Southeast,2016-09-10,1373.0
Southeast,2016-09-17,2016.0
Southeast,2016-09-24,1779.0
Southeast,2016-10-01,1890.0
Southeast,2016-10-08,1624.0
Southeast,2016-10-15,1891.0
Southeast,2016-10-22,2926.0
Southeast,2016-10-29,2724.0
Southeast,2016-11-05,2498.0
Southeast,2016-11-12,3171.0
Southeast,2016-11-19,2797.0
Southeast,2016-11-26,3547.0
Southeast,2016-12-03,3941.0
Southeast,2016-12-10,4030.0
Southeast,2016-12-17,3890.0
Southeast,2016-12-24,3513.0
Southeast,2016-12-31,3818.0
Southeast,2017-01-21,5463.5
Southeast,2017-02-04,3995.0
Southeast,2017-02-11,2004.0
Southeast,2017-02-18,2202.0
Southeast,2017-02-25,1832.0
Southeast,2017-03-04,2073.0
Southeast,2017-03-11,2344.0
Southeast,2017-03-18,2198.0
Southeast,2017-03-25,2088.0
Southeast,2017-04-01,1858.0
Southeast,2017-04-08,1746.0
Southeast,2017-04-15,1528.0
Southeast,2017-04-22,1740.0
Southeast,2017-04-29,1465.0
Southeast,2017-05-13,2854.0
Southeast,2017-05-27,2176.0
Southeast,2017-06-10,1988.0
Southeast,2017-06-24,1331.5
Southeast,2017-07-15,1123.0
Southeast,2017-07-29,249.0
Southeast,2017-08-12,681.0
Southeast,2017-08-26,668.0
Southeast,2017-09-09,347.0
Southeast,2017-09-23,1194.0
Southeast,2017-10-14,1459.0
Southeast,2017-10-21,550.0
Southeast,2017-10-28,497.0
Southeast,2017-11-04,467.0
Southeast,2017-11-11,517.0
Southeast,2017-11-25,1088.0
Southeast,2017-12-02,615.0
Southeast,2017-12-09,658.0
Southeast,2017-12-16,732.0
Southeast,2017-12-30,936.0
Southeast,2018-01-06,2576.0
Southeast,2018-01-13,3335.0
Southeast,2018-01-20,4685.0
Southeast,2018-01-27,4950.0
Southeast,2018-02-03,4826.0
Southeast,2018-02-10,4330.0
Southeast,2018-02-17,3476.0
Southeast,2018-02-24,4702.0
Southeast,2018-03-03,4858.0
Southeast,2018-03-10,5054.0
Southeast,2018-03-17,5447.0
Southeast,2018-03-24,5584.0
Southeast,2018-03-31,4935.0
Southeast,2018-04-07,6149.0
Southeast,2018-04-14,7053.0
Southeast,2018-04-21,6519.0
Southeast,2018-04-28,5817.0
Southeast,2018-05-05,5090.0
Southeast,2018-05-12,5199.0
Southeast,2018-05-19,5291.0
Southeast,2018-05-26,4033.0
Southeast,2018-06-02,2803.0
Southeast,2018-06-09,3103.0
Southeast,2018-06-16,3134.0
Southeast,2018-06-23,2734.0
Southeast,2018-06-30,2822.0
Southeast,2018-07-07,2223.0
Southeast,2018-07-14,2004.0
Southeast,2018-07-21,1926.0
Southeast,2018-07-28,1649.0
Southeast,2018-08-04,1638.0
Southeast,2018-08-11,1510.0
Southeast,2018-08-18,1540.0
Southeast,2018-08-25,1616.0
Southeast,2018-09-01,1434.0
Southeast,2018-09-08,1171.0
Southeast,2018-09-15,1346.0
Southeast,2018-09-22,1430.0
Southeast,2018-09-29,1698.0
Southeast,2018-10-06,1704.0
Southeast,2018-10-13,1511.0
Southeast,2018-10-20,1994.0
Southeast,2018-10-27,2034.0
Southeast,2018-11-03,1898.0
Southeast,2018-11-10,2245.0
Southeast,2018-11-17,2200.0
Southeast,2018-11-24,2746.0
Southeast,2018-12-01,3164.0
Southeast,2018-12-08,3551.0
Southeast,2018-12-15,4380.0
Southeast,2018-12-22,4729.0
Southeast,2018-12-29,3939.0
Southeast,2019-01-05,6379.0
Southeast,2019-01-12,9810.0
Southeast,2019-01-19,12071.0
Southeast,2019-01-26,15810.0
Southeast,2019-02-02,21820.0
Southeast,2019-02-09,25107.0
Southeast,2019-02-16,30002.0
Southeast,2019-02-23,35018.0
Southeast,2019-03-02,35698.0
Southeast,2019-03-09,33199.0
Southeast,2019-03-16,44252.0
Southeast,2019-03-23,53189.0
Southeast,2019-03-30,65434.0
Southeast,2019-04-06,73680.0
Southeast,2019-04-13,78204.0
Southeast,2019-04-20,75778.0
Southeast,2019-04-27,101243.0
Southeast,2019-05-04,95498.0
Southeast,2019-05-11,100152.0
Southeast,2019-05-18,97340.0
Southeast,2019-05-25,85469.0
Southeast,2019-06-01,68716.0
Southeast,2019-06-08,48196.0
Southeast,2019-06-15,38792.0
Southeast,2019-06-22,25834.0
Southeast,2019-06-29,26036.0
Southeast,2019-07-06,19152.0
Southeast,2019-07-13,11783.0
Southeast,2019-07-20,9363.0
Southeast,2019-07-27,7560.0
Southeast,2019-08-03,6290.0
Southeast,2019-08-10,5177.0
Southeast,2019-08-17,4559.0
Southeast,2019-08-24,4290.0
Southeast,2019-08-31,3833.0
Southeast,2019-09-07,3394.0
Southeast,2019-09-14,3847.0
Southeast,2019-09-21,4150.0
Southeast,2019-09-28,3271.0
Southeast,2019-10-05,2957.0
Southeast,2019-10-12,1595.0
