location,dateEnd,cases
Acre,1999-08-31,1.0
Acre,1999-09-30,1.0
Acre,1999-10-31,1.0
Acre,1999-11-30,0.0
Acre,1999-12-31,0.0
Acre,2000-01-31,22.0
Acre,2000-02-29,24.0
Acre,2000-03-31,38.0
Acre,2000-04-30,45.0
Acre,2000-05-31,93.0
Acre,2000-06-30,223.0
Acre,2000-07-31,333.0
Acre,2000-08-31,264.0
Acre,2000-09-30,170.0
Acre,2000-10-31,199.0
Acre,2000-11-30,316.0
Acre,2000-12-31,589.0
Acre,2001-01-31,1281.0
Acre,2001-02-28,241.0
Acre,2001-03-31,113.0
Acre,2001-04-30,79.0
Acre,2001-05-31,36.0
Acre,2001-06-30,32.0
Acre,2001-07-31,7.0
Acre,2001-08-31,8.0
Acre,2001-09-30,8.0
Acre,2001-10-31,22.0
Acre,2001-11-30,173.0
Acre,2001-12-31,196.0
Acre,2002-01-31,78.0
Acre,2002-02-28,150.0
Acre,2002-03-31,297.0
Acre,2002-04-30,65.0
Acre,2002-05-31,36.0
Acre,2002-06-30,24.0
Acre,2002-07-31,19.0
Acre,2002-08-31,11.0
Acre,2002-09-30,14.0
Acre,2002-10-31,18.0
Acre,2002-11-30,90.0
Acre,2002-12-31,98.0
Acre,2003-01-31,231.0
Acre,2003-02-28,238.0
Acre,2003-03-31,151.0
Acre,2003-04-30,93.0
Acre,2003-05-31,46.0
Acre,2003-06-30,38.0
Acre,2003-07-31,17.0
Acre,2003-08-31,7.0
Acre,2003-09-30,8.0
Acre,2003-10-31,28.0
Acre,2003-11-30,48.0
Acre,2003-12-31,53.0
Acre,2004-01-31,85.0
Acre,2004-02-29,134.0
Acre,2004-03-31,47.0
Acre,2004-04-30,26.0
Acre,2004-05-31,61.0
Acre,2004-06-30,50.0
Acre,2004-07-31,44.0
Acre,2004-08-31,40.0
Acre,2004-09-30,95.0
Acre,2004-10-31,397.0
Acre,2004-11-30,1998.0
Acre,2004-12-31,1481.0
Acre,2005-01-31,1456.0
Acre,2005-02-28,487.0
Acre,2005-03-31,186.0
Acre,2005-04-30,50.0
Acre,2005-05-31,17.0
Acre,2005-06-30,15.0
Acre,2005-07-31,10.0
Acre,2005-08-31,5.0
Acre,2005-09-30,0.0
Acre,2005-10-31,6.0
Acre,2005-11-30,25.0
Acre,2005-12-31,259.0
Acre,2006-01-31,80.0
Acre,2006-02-28,38.0
Acre,2006-03-31,27.0
Acre,2006-04-30,19.0
Acre,2006-05-31,8.0
Acre,2006-06-30,10.0
Acre,2006-07-31,5.0
Acre,2006-08-31,2.0
Acre,2006-09-30,5.0
Acre,2006-10-31,7.0
Acre,2006-11-30,30.0
Acre,2006-12-31,39.0
Acre,2007-01-31,65.0
Acre,2007-02-28,105.0
Acre,2007-03-31,98.0
Acre,2007-04-30,84.0
Acre,2007-05-31,28.0
Acre,2007-06-30,9.0
Acre,2007-07-31,3.0
Acre,2007-08-31,3.0
Acre,2007-09-30,2.0
Acre,2007-10-31,10.0
Acre,2007-11-30,60.0
Acre,2007-12-31,59.0
Acre,2008-01-31,85.0
