disease, location, endDate, cases
zika, Brazil, 2018-01-06, 180
zika, Brazil, 2018-01-13, 188
zika, Brazil, 2018-01-20, 228
zika, Brazil, 2018-01-27, 178
zika, Brazil, 2018-02-03, 194
zika, Brazil, 2018-02-10, 213
zika, Brazil, 2018-02-17, 231
zika, Brazil, 2018-02-24, 247
zika, Brazil, 2018-03-03, 245
zika, Brazil, 2018-03-10, 297
zika, Brazil, 2018-03-17, 284
zika, Brazil, 2018-03-24, 303
zika, Brazil, 2018-03-31, 206
zika, Brazil, 2018-04-07, 281
zika, Brazil, 2018-04-14, 319
zika, Brazil, 2018-04-21, 272
zika, Brazil, 2018-04-28, 214
zika, Brazil, 2018-05-05, 269
zika, Brazil, 2018-05-12, 278
zika, Brazil, 2018-05-19, 245
zika, Brazil, 2018-05-26, 213
zika, Brazil, 2018-06-02, 194
zika, Brazil, 2018-06-09, 159
zika, Brazil, 2018-06-16, 148
zika, Brazil, 2018-06-23, 139
zika, Brazil, 2018-06-30, 125
zika, Brazil, 2018-07-07, 144
zika, Brazil, 2018-07-14, 128
zika, Brazil, 2018-07-21, 114
zika, Brazil, 2018-07-28, 97
zika, Brazil, 2018-08-04, 97
zika, Brazil, 2018-08-11, 109
zika, Brazil, 2018-08-18, 113
zika, Brazil, 2018-08-25, 122
zika, Brazil, 2018-09-01, 75
zika, Brazil, 2018-09-08, 73
zika, Brazil, 2018-09-15, 94
zika, Brazil, 2018-09-22, 72
zika, Brazil, 2018-09-29, 94
zika, Brazil, 2018-10-06, 95
zika, Brazil, 2018-10-13, 91
zika, Brazil, 2018-10-20, 97
zika, Brazil, 2018-10-27, 94
zika, Brazil, 2018-11-03, 108
zika, Brazil, 2018-11-10, 94
zika, Brazil, 2018-11-17, 114
zika, Brazil, 2018-11-17, 114
zika, Brazil, 2018-11-24, 119
zika, Brazil, 2018-12-01, 163
zika, Brazil, 2018-12-08, 158
zika, Brazil, 2018-12-15, 156
zika, Brazil, 2018-12-22, 136
zika, Brazil, 2018-12-29, 42
