region	location	dateEnd	cases
North	Acre	2016-01-30	3
North	Acre	2016-02-20	3
North	Acre	2016-03-12	8
North	Acre	2016-03-26	2.5
North	Acre	2016-04-16	6
North	Acre	2016-05-14	6
North	Acre	2016-06-25	16.5
North	Acre	2016-08-06	0
North	Acre	2016-08-20	29
North	Acre	2016-09-03	1
North	Acre	2016-10-01	0
North	Acre	2016-10-15	0
North	Acre	2016-10-29	1
North	Acre	2016-11-12	2
North	Acre	2016-11-19	1
North	Acre	2016-11-26	0
North	Acre	2016-12-03	0
North	Acre	2016-12-10	0
North	Acre	2016-12-17	0
North	Acre	2016-12-24	0
North	Acre	2016-12-31	0
North	Acre	2017-01-21	6.5
North	Acre	2017-02-04	1
North	Acre	2017-02-11	0
North	Acre	2017-02-18	4
North	Acre	2017-02-25	0
North	Acre	2017-03-04	0
North	Acre	2017-03-11	1
North	Acre	2017-03-18	0
North	Acre	2017-03-25	2
North	Acre	2017-04-01	0
North	Acre	2017-04-08	2
North	Acre	2017-04-15	0
North	Acre	2017-04-22	2
North	Acre	2017-04-29	0
North	Acre	2017-05-13	1
North	Acre	2017-05-27	0
North	Acre	2017-06-10	1
North	Acre	2017-06-24	1
North	Acre	2017-07-15	0.5
North	Acre	2017-07-29	0
North	Acre	2017-08-12	0
North	Acre	2017-08-26	0
North	Acre	2017-09-09	1
North	Acre	2017-09-23	0
North	Acre	2017-10-14	1
North	Acre	2017-10-21	1
North	Acre	2017-11-18	1
North	Acre	2017-12-09	1
North	Acre	2017-12-16	13
North	Acre	2017-12-23	0
North	Acre	2017-12-30	0
North	Acre	2018-01-20	1
North	Acre	2018-02-03	2
North	Acre	2018-02-10	0
North	Acre	2018-02-17	0
North	Acre	2018-02-24	0
North	Acre	2018-03-03	0
North	Acre	2018-03-10	3.5
North	Acre	2018-03-17	0
North	Acre	2018-03-24	3.5
North	Acre	2018-03-31	0
North	Acre	2018-04-07	0
North	Acre	2018-04-14	0
North	Acre	2018-04-21	4.5
North	Acre	2018-04-28	0
North	Acre	2018-05-12	1
North	Acre	2018-05-26	0
North	Acre	2018-06-09	1.5
North	Acre	2018-06-23	0
North	Acre	2018-07-14	0
North	Acre	2018-07-28	1
North	Acre	2018-08-11	2
North	Acre	2018-08-25	10
North	Acre	2018-09-08	2
North	Acre	2018-09-22	2
North	Acre	2018-10-13	11
North	Acre	2018-10-20	6
North	Acre	2018-11-17	26
North	Acre	2018-12-08	6
Northeast	Alagoas	2016-01-30	97
Northeast	Alagoas	2016-02-20	332
Northeast	Alagoas	2016-03-12	1046
Northeast	Alagoas	2016-03-26	720
Northeast	Alagoas	2016-04-16	1133
Northeast	Alagoas	2016-05-14	1316
Northeast	Alagoas	2016-06-25	1403
Northeast	Alagoas	2016-08-06	288
Northeast	Alagoas	2016-08-20	344
Northeast	Alagoas	2016-09-03	38
Northeast	Alagoas	2016-10-01	27
Northeast	Alagoas	2016-10-15	21
Northeast	Alagoas	2016-10-29	26
Northeast	Alagoas	2016-11-12	7
Northeast	Alagoas	2016-11-19	2
Northeast	Alagoas	2016-11-26	8
Northeast	Alagoas	2016-12-03	5
Northeast	Alagoas	2016-12-10	5
Northeast	Alagoas	2016-12-17	7
Northeast	Alagoas	2016-12-24	1
Northeast	Alagoas	2016-12-31	1
Northeast	Alagoas	2017-01-21	17
Northeast	Alagoas	2017-02-04	8
Northeast	Alagoas	2017-02-11	0
Northeast	Alagoas	2017-02-18	12
Northeast	Alagoas	2017-02-25	0
Northeast	Alagoas	2017-03-04	0
Northeast	Alagoas	2017-03-11	11
Northeast	Alagoas	2017-03-18	4
Northeast	Alagoas	2017-03-25	4
Northeast	Alagoas	2017-04-01	7
Northeast	Alagoas	2017-04-08	4
Northeast	Alagoas	2017-04-15	0
Northeast	Alagoas	2017-04-22	15
Northeast	Alagoas	2017-04-29	8
Northeast	Alagoas	2017-05-13	9
Northeast	Alagoas	2017-05-27	5
Northeast	Alagoas	2017-06-10	4
Northeast	Alagoas	2017-06-24	14
Northeast	Alagoas	2017-07-15	12
Northeast	Alagoas	2017-07-29	7
Northeast	Alagoas	2017-08-12	10
Northeast	Alagoas	2017-08-26	9
Northeast	Alagoas	2017-09-09	5
Northeast	Alagoas	2017-09-23	3
Northeast	Alagoas	2017-10-14	22
Northeast	Alagoas	2017-10-21	7
Northeast	Alagoas	2017-11-18	18
Northeast	Alagoas	2017-12-09	6
Northeast	Alagoas	2017-12-16	18
Northeast	Alagoas	2017-12-23	6
Northeast	Alagoas	2017-12-30	4
Northeast	Alagoas	2018-01-20	2
Northeast	Alagoas	2018-02-03	6
Northeast	Alagoas	2018-02-10	0
Northeast	Alagoas	2018-02-17	0
Northeast	Alagoas	2018-02-24	0
Northeast	Alagoas	2018-03-03	0
Northeast	Alagoas	2018-03-10	0
Northeast	Alagoas	2018-03-17	31.5
Northeast	Alagoas	2018-03-24	0
Northeast	Alagoas	2018-03-31	0
Northeast	Alagoas	2018-04-07	0
Northeast	Alagoas	2018-04-14	0
Northeast	Alagoas	2018-04-21	6
Northeast	Alagoas	2018-04-28	11
Northeast	Alagoas	2018-05-12	13.5
Northeast	Alagoas	2018-05-26	6.5
Northeast	Alagoas	2018-06-09	0
Northeast	Alagoas	2018-06-23	0
Northeast	Alagoas	2018-07-14	15
Northeast	Alagoas	2018-07-28	6.5
Northeast	Alagoas	2018-08-11	0
Northeast	Alagoas	2018-08-25	8
