"strain","Sample_ID","Sample_Source","Data_Source","date","Location","Region","Serotype","Sero_Geno","Lineage","Include"
"","98901403","Dewi_2004","NCBI","1998-XX-XX","Indonesia","Southeast-Asia",3,"3_I","3I_A","X"
"","98901437","Dewi_2004","NCBI","1998-XX-XX","Indonesia","Southeast-Asia",3,"3_I","3I_A","X"
"","98901517","Dewi_2004","NCBI","1998-XX-XX","Indonesia","Southeast-Asia",3,"3_I","3I_A","X"
"","98902890","Dewi_2004","NCBI","1998-XX-XX","Indonesia","Southeast-Asia",3,"3_I","3I_A","X"
"","D3/Hu/TL018NIID/2005","Ito_2005","NCBI","2005-XX-XX","Timor-Leste","Southeast-Asia",3,"3_I","3I_A","X"
"","D3/Hu/TL029NIID/2005","Ito_2005","NCBI","2005-XX-XX","Timor-Leste","Southeast-Asia",3,"3_I","3I_A","X"
"AB214881.1","D3/Hu/TL109NIID/2005","Ito_2005","NCBI","2005-XX-XX","Timor-Leste","Southeast-Asia",3,"3_I","3I_A",""
"","D3/Hu/TL129NIID/2005","Ito_2005","NCBI","2005-XX-XX","Timor-Leste","Southeast-Asia",3,"3_I","3I_A","X"
"AY099336.1","D3/H/IMTSSA-SRI/2000/1266","Peyrefitte_2003","NCBI","2000-XX-XX","Sri-Lanka","South-Asia",3,"3_III","3III_A",""
"AY099337.1","D3/H/IMTSSA-MART/1999/1243","Peyrefitte_2003","NCBI","1999-XX-XX","Martinique","Caribbean",3,"3_III","3III_C",""
"","BDH02-1","Islam_2005","NCBI","2002-XX-XX","Bangladesh","South-Asia",3,"3_II","3II_B","X"
"","BDH02-3","Islam_2005","NCBI","2002-XX-XX","Bangladesh","South-Asia",3,"3_II","3II_B","X"
"AY496874.2","BDH02-4","Islam_2005","NCBI","2002-XX-XX","Bangladesh","South-Asia",3,"3_II","3II_B",""
"","BDH02-7","Islam_2005","NCBI","2002-XX-XX","Bangladesh","South-Asia",3,"3_II","3II_B","X"
"AY496879.2","PhMH-J1-97","Islam_2005","NCBI","1997-XX-XX","Philippines","Southeast-Asia",3,"3_unassigned","3I",""
"AY648961.1","Sleman/78","Blaney_2004","NCBI","1978-XX-XX","Indonesia","Southeast-Asia",3,"3_I_related","3I_B",""
"","Singapore","Lim_2004","NCBI","2004-XX-XX","Singapore","Southeast-Asia",3,"3_III","3III_A","X"
"","ThD3_1687_98","Zhang_2005","NCBI","1998-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II_A","X"
"","ThD3_1283_98","Zhang_2005","NCBI","1998-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II_A","X"
"AY676350.1","ThD3_0104_93","Zhang_2005","NCBI","1993-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II_A",""
"","ThD3_0055_93","Zhang_2005","NCBI","1993-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II_A","X"
"","ThD3_0010_87","Zhang_2005","NCBI","1987-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II","X"
"AY676353.1","ThD3_0007_87","Zhang_2005","NCBI","1987-XX-XX","Thailand","Southeast-Asia",3,"3_II","3II",""
"","BR74886/02","Miagostovich_2004","NCBI","2002-XX-XX","Brazil","South-America",3,"3_III","3III_C","X"
