strain	Sample_ID	Sample_Source	Data_Source	date	Location	Region	Serotype	Sero_Geno	Lineage
HM582104.1	D2/AS/UH77/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	Pacific	2	2_I	2I
HM582105.1	D2/AS/UH79/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	Pacific	2	2_I	2I
HM582106.1	D2/AS/UH85/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	Pacific	2	2_I	2I
HM582107.1	D2/AS/UH73/1972	Steel_2010	NCBI	1972-XX-XX	American-Samoa	Pacific	2	2_I	2I
AY037116.1	TSV01	McBride_2001	NCBI	1993-XX-XX	Australia	Pacific	2	2_II	2II
KX274130.1	QML22	Liu_2016	NCBI	2015-XX-XX	Australia	Pacific	2	2_VI_related	Unassigned
KX372564.1	QML16	Liu_2016	NCBI	2015-XX-XX	Australia	Pacific	2	2_II	2II_F.1
MH985858.1	SI_2016	Pyke_2018	NCBI	2016-XX-XX	Australia	Pacific	2	2_II	2II_E.2
MH985859.1	Van_2017	Pyke_2018	NCBI	2017-XX-XX	Australia	Pacific	2	2_II_related	2II_C.1
MN982899.1	Rock_2019	Pyke_2021	NCBI	2019-05-XX	Australia	Pacific	2	2_II	2II_F.2
MT921570.1	PNG_2013c	Pyke_2020	NCBI	2013-XX-XX	Australia	Pacific	2	2_II	2II_E.2
MT921571.1	PNG_2015b	Pyke_2020	NCBI	2015-XX-XX	Australia	Pacific	2	2_II	2II_E.2
MT921572.1	ET300	Pyke_2020	NCBI	2000-XX-XX	Australia	Pacific	2	2_II	2II
MT921573.1	TI2004	Pyke_2020	NCBI	2004-XX-XX	Australia	Pacific	2	2_II	2II_E
LC436669.1	B17-1357	Suzuki_2020	NCBI	2017-10-XX	Bangladesh	South-Asia	2	2_II	2II_F.1.2
LC436670.1	B17-1431	Suzuki_2020	NCBI	2017-10-XX	Bangladesh	South-Asia	2	2_II_related	2II_A.2.1
LC436671.1	B17-1482	Suzuki_2020	NCBI	2017-10-XX	Bangladesh	South-Asia	2	2_II_related	2II_A.2.1
LC436672.1	B17-1489	Suzuki_2020	NCBI	2017-10-XX	Bangladesh	South-Asia	2	2_II	2II_F.1.2
LC436673.1	B17-1556	Suzuki_2020	NCBI	2017-11-XX	Bangladesh	South-Asia	2	2_II	2II_F.1.2
LC436674.1	B17-1571	Suzuki_2020	NCBI	2017-11-XX	Bangladesh	South-Asia	2	2_II	2II_F.1.2
LC436675.1	B17-1634	Suzuki_2020	NCBI	2017-12-XX	Bangladesh	South-Asia	2	2_II	2II_F.1.2
MN328061.1	CHRF_DenV002	Saha_2019	NCBI	2019-07-29	Bangladesh	South-Asia	2	2_II	2II_F.1.2
FJ898461.1	DENV-2/BZ/BID-V2952/2002	Henn_2009	NCBI	2002-XX-XX	Belize	Central-America	2	2_III	2III_D
MZ130524.1	19071509	Selhorst_2019	NCBI	2019-07-09	Benin	Sub-Saharan-Africa	2	2_II_related	2II_B
OR771116.1	DENV-2/USA/FL-BPHL-0047/2023	FL-DPH	NCBI	2023-03-04	Bolivia	South-America	2	2_II	2II_F.1.2
AF489932.1	BR64022	dos Santos_2002	NCBI	1998-XX-XX	Brazil	South-America	2	2_III	2III_B
DH051	BRA_40247	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH052	BRA_39056	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH053	BRA_38998	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH054	BRA_41464	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH055	BRA_41464	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH056	BRA_41576	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH057r	BRA_39064	Ott_2021	Yale	1990-XX-XX	Brazil	South-America	2	2_III	2III_B
DH160	SP 194589	Ott_2022	Yale	2000-XX-XX	Brazil	South-America	2	2_III	2III_B
FJ850072.1	DENV-2/BR/BID-V2376/2000	Henn_2009	NCBI	2000-XX-XX	Brazil	South-America	2	2_III	2III_B
FJ850074.1	DENV-2/BR/BID-V2379/2001	Henn_2009	NCBI	2001-XX-XX	Brazil	South-America	2	2_III	2III
FJ850076.1	DENV-2/BR/BID-V2382/2002	Henn_2009	NCBI	2002-XX-XX	Brazil	South-America	2	2_III	2III
