strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
JQ922544	Dengue virus 1	JQ922544	1963-XX-XX	Southern Asia	IND	India			complete			
AF425613	Dengue virus 1	AF425613	1982-XX-XX	Brazil-Unknown	BRA	Brazil	BRA/Unknown		partial	1485.0	Homo sapiens	
AY732474	Dengue virus 1	AY732474	1980-XX-XX	Southeastern Asia	THA	Thailand	THA/Bangkok		complete	10735.0		
KX768372	Dengue virus 1	KX768372	2016-02-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768393	Dengue virus 1	KX768393	2016-02-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768365	Dengue virus 1	KX768365	2016-02-04	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768377	Dengue virus 1	KX768377	2016-02-04	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768367	Dengue virus 1	KX768367	2016-02-05	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768370	Dengue virus 1	KX768370	2016-02-10	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768373	Dengue virus 1	KX768373	2016-02-10	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768395	Dengue virus 1	KX768395	2016-02-10	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768406	Dengue virus 1	KX768406	2016-02-10	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768366	Dengue virus 1	KX768366	2016-02-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768382	Dengue virus 1	KX768382	2016-02-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768380	Dengue virus 1	KX768380	2016-02-05	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768385	Dengue virus 1	KX768385	2016-02-26	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KC692495	Dengue virus 1	KC692495	2009-02-03	Southern South America	ARG	Argentina	ARG/Buenos Aires		complete	10735.0	Homo sapiens	
KX768386	Dengue virus 1	KX768386	2016-02-11	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768359	Dengue virus 1	KX768359	2016-02-01	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768362	Dengue virus 1	KX768362	2016-02-29	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768381	Dengue virus 1	KX768381	2016-02-29	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
KX768397	Dengue virus 1	KX768397	2016-02-29	Southern South America	ARG	Argentina			partial	1485.0	Homo sapiens	
