strain	Sample_ID	Sample_Source	Data_Source	date	Location	Region	Serotype	Sero_Geno	Lineage
DH002_AMPL	RioH_36589	Ott_2022	Yale	1988-XX-XX	Angola	Sub-Saharan-Africa	1	1_V	1V
KF184975.1	Angola_2013	Sessions_2013	NCBI	2013-04-XX	Angola	Sub-Saharan-Africa	1	1_unassigned	1VI_A
MZ857205.1	KAJP5_DENV1_Angola_Central.Africa_2013	Alfsnes_2021	NCBI	2013-XX-XX	Angola	Sub-Saharan-Africa	1	1_unassigned	1VI_A
OL452067.1	DENV1-5_RIO_H_36589	Tamura_2022	NCBI	1988-XX-XX	Angola	Sub-Saharan-Africa	1	1_V	1V
OR389006.1	DENV1/Angola/1988/Yale-DH132	Vogels_2023	Yale	1988-06-10	Angola	Sub-Saharan-Africa	1	1_V	1V
OR389270.1	DENV1/Angola/1988/Yale-DH002	Vogels_2023	Yale	1988-06-10	Angola	Sub-Saharan-Africa	1	1_V	1V
AF514876.3	301arg00	Aviles_2002	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AF514885.3	295arg00	Aviles_2002	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AF514889.3	297arg00	Aviles_2002	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AY206457.3	293arg00	Aviles_2003	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AY277659.2	ARG0044	Barrero_2004	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AY277664.2	ARG9920	Barrero_2004	NCBI	1999-XX-XX	Argentina	South-America	1	1_V	1V
AY277665.2	ARG0028	Barrero_2004	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
AY277666.2	ARG0048	Barrero_2004	NCBI	2000-XX-XX	Argentina	South-America	1	1_V	1V
KC692495.1	HNRG12188	Tittarelli_2014	NCBI	2009-02-03	Argentina	South-America	1	1_V	1V_E
KC692496.1	HNRG12447	Tittarelli_2014	NCBI	2009-02-19	Argentina	South-America	1	1_V	1V_E
KC692497.1	HNRG12560	Tittarelli_2014	NCBI	2009-03-02	Argentina	South-America	1	1_V	1V_E
KC692498.1	HNRG12589	Tittarelli_2014	NCBI	2009-03-03	Argentina	South-America	1	1_V	1V_E
KC692499.1	HNRG13154	Tittarelli_2014	NCBI	2009-03-31	Argentina	South-America	1	1_V	1V_E
KC692500.1	HNRG13188	Tittarelli_2014	NCBI	2009-04-01	Argentina	South-America	1	1_V	1V_E
KC692501.1	HNRG13301	Tittarelli_2014	NCBI	2009-04-06	Argentina	South-America	1	1_V	1V_E
KC692502.1	HNRG13405	Tittarelli_2014	NCBI	2009-04-09	Argentina	South-America	1	1_V	1V_E
KC692503.1	HNRG13561	Tittarelli_2014	NCBI	2009-04-14	Argentina	South-America	1	1_V	1V_E
KC692504.1	HNRG13707	Tittarelli_2014	NCBI	2009-04-16	Argentina	South-America	1	1_V	1V_E
KC692505.1	HNRG13708	Tittarelli_2014	NCBI	2009-04-16	Argentina	South-America	1	1_V	1V_E
KC692506.1	HNRG14043	Tittarelli_2014	NCBI	2009-04-22	Argentina	South-America	1	1_V	1V_E
KC692507.1	HNRG14076	Tittarelli_2014	NCBI	2009-04-23	Argentina	South-America	1	1_V	1V_E
KC692508.1	HNRG14194	Tittarelli_2014	NCBI	2009-04-24	Argentina	South-America	1	1_V	1V_E
KC692509.1	HNRG14635	Tittarelli_2014	NCBI	2009-05-05	Argentina	South-America	1	1_V	1V_E
KC692510.1	HNRG15417	Tittarelli_2014	NCBI	2009-05-28	Argentina	South-America	1	1_V	1V_E
KC692511.1	HNRG24827	Tittarelli_2014	NCBI	2010-02-10	Argentina	South-America	1	1_V	1V_A
KC692512.1	HNRG25001	Tittarelli_2014	NCBI	2010-02-17	Argentina	South-America	1	1_V	1V_E
KC692513.1	HNRG27213	Tittarelli_2014	NCBI	2010-04-26	Argentina	South-America	1	1_V	1V_A
KC692514.1	HNRG27486	Tittarelli_2014	NCBI	2010-05-03	Argentina	South-America	1	1_V	1V_E
KC692515.1	HNRG28226	Tittarelli_2014	NCBI	2010-05-14	Argentina	South-America	1	1_V	1V_E
KC692516.1	HNRG28425	Tittarelli_2014	NCBI	2010-05-18	Argentina	South-America	1	1_V	1V_E
KC692517.1	HNRG37945	Tittarelli_2014	NCBI	2010-12-29	Argentina	South-America	1	1_V	1V_F
DH005_AMPL	AUSH_CS_1	Ott_2022	Yale	1983-XX-XX	Australia	Pacific	1	1_IV	1IV
KR919821.1	TSV08	Pyke_2016	NCBI	2008-XX-XX	Australia	Pacific	1	1_I	1I_K
MH921566.1	PNG_2015c	Pyke_2018	NCBI	2015-XX-XX	Australia	Pacific	1	1_IV	1IV_A
MH921567.1	PNG_2016	Pyke_2018	NCBI	2016-XX-XX	Australia	Pacific	1	1_IV	1IV_A
MT921569.1	Cairns_2013b	Pyke_2020	NCBI	2013-XX-XX	Australia	Pacific	1	1_I	1I_H.1
OK605753.1	DENV1-1_AUS_H_T1_9	Tamura_2022	NCBI	1983-XX-XX	Australia	Pacific	1	1_IV	1IV
OR389271.1	DENV1/Australia/1983/Yale-DH005	Vogels_2023	Yale	1983-06-05	Australia	Pacific	1	1_IV	1IV
DH006	CAREC_777921	Ott_2021	Yale	1977-XX-XX	Bahamas	Caribbean	1	1_V	1V
OR389272.1	DENV1/Bahamas/1977/Yale-DH006	Vogels_2023	Yale	1977-05-30	Bahamas	Caribbean	1	1_V	1V
LC436667.1	B17-1387	Suzuki_2020	NCBI	2017-10-XX	Bangladesh	South-Asia	1	1_III_related	1III_A
LC436668.1	B17-1547	Suzuki_2020	NCBI	2017-11-XX	Bangladesh	South-Asia	1	1_III_related	1III_A
OA05	CAREC_0101765	Allicock_2021	Yale	2001-XX-XX	Barbados	Caribbean	1	1_V	1V
OA06	CAREC_0511227	Allicock_2021	Yale	2005-XX-XX	Belize	Central-America	1	1_V	1V_C
MN600714.1	2019/BJ/9943	Fourie_2019	NCBI	2019-02-28	Benin	Sub-Saharan-Africa	1	1_III_related	1III_A
DENV1/Bolivia/2020-01-09/Yale-DN00976	220084	FL-DPH	Yale	2020-01-09	Bolivia	South-America	1	1_V	1V_D.2
DENV1/Bolivia/2020-03-15/Yale-DN01011	220290	FL-DPH	Yale	2020-03-15	Bolivia	South-America	1	1_V	1V_D.2
MW946053.1	FSB-3363	Katzelnick_2021	NCBI	2010-XX-XX	Bolivia	South-America	1	1_V	1V_E
OP895916.1	DENV_5739_2017	Nagy_2022	NCBI	2017-10-XX	Borneo	Southeast-Asia	1	1_I	1I_K
AB519681.1	SB_01057805_/DF02/	Nagata_2009	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
AF226685.2	Den1BR/90	dos Santos_2002	NCBI	1990-XX-XX	Brazil	South-America	1	1_V	1V
AF311956.1	BR/97-111	dos Santos_2002	NCBI	1997-XX-XX	Brazil	South-America	1	1_V	1V
AF311957.1	BR/97-409	dos Santos_2002	NCBI	1997-XX-XX	Brazil	South-America	1	1_V	1V
AF311958.1	BR/97-233	dos Santos_2002	NCBI	1997-XX-XX	Brazil	South-America	1	1_V	1V
AF513110.1	BR/01-MR	dos Santos_2003	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
DENV1/Brazil/2015-05-19/Yale-DN00201	190499	FL-DPH	Yale	2015-05-19	Brazil	South-America	1	1_V	1V_F
DENV1/Brazil/2016-02-08/Yale-DN00355	190390	FL-DPH	Yale	2016-02-08	Brazil	South-America	1	1_V	1V_A
DENV1/Brazil/2022-06-29/Yale-DN01016	220057	FL-DPH	Yale	2022-06-29	Brazil	South-America	1	1_V	1V_E
DH008	H_28973	Ott_2021	Yale	1986-XX-XX	Brazil	South-America	1	1_V	1V
DH009	BeH_455823	Ott_2021	Yale	1986-XX-XX	Brazil	South-America	1	1_V	1V
DH150	SP 194762	Ott_2022	Yale	2000-XX-XX	Brazil	South-America	1	1_V	1V
FJ384655.1	DF01-HUB01021093	Carvalho_2008	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
FJ850070.1	DENV-1/BR/BID-V2374/2000	Henn_2009	NCBI	2000-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850071.1	DENV-1/BR/BID-V2375/2000	Henn_2009	NCBI	2000-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850073.1	DENV-1/BR/BID-V2378/2001	Henn_2009	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
FJ850075.1	DENV-1/BR/BID-V2381/2002	Henn_2009	NCBI	2002-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850077.1	DENV-1/BR/BID-V2384/2003	Henn_2009	NCBI	2003-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850081.1	DENV-1/BR/BID-V2389/2004	Henn_2009	NCBI	2004-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850084.1	DENV-1/BR/BID-V2392/2005	Henn_2009	NCBI	2005-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850087.1	DENV-1/BR/BID-V2395/2006	Henn_2009	NCBI	2006-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850090.1	DENV-1/BR/BID-V2398/2007	Henn_2009	NCBI	2007-XX-XX	Brazil	South-America	1	1_V	1V_A
FJ850093.1	DENV-1/BR/BID-V2401/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	1	1_V	1V_F
GU131863.1	DENV-1/BR/BID-V3490/2008	Henn_2009	NCBI	2008-XX-XX	Brazil	South-America	1	1_V	1V_A
JX669461.1	9808/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_A
JX669462.1	12898/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_E
JX669463.1	13501/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_E
JX669464.1	13671/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_A
JX669465.1	13861/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_A
JX669466.1	14985/BR-PE/10	Silva_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_E
JX669467.1	21814/BR-PE/96	Silva_2013	NCBI	1996-XX-XX	Brazil	South-America	1	1_V	1V
JX669468.1	40604/BR-PE/97	Silva_2013	NCBI	1997-XX-XX	Brazil	South-America	1	1_V	1V
JX669469.1	41111/BR-PE/97	Silva_2013	NCBI	1997-XX-XX	Brazil	South-America	1	1_V	1V
JX669470.1	52082/BR-PE/98	Silva_2013	NCBI	1998-XX-XX	Brazil	South-America	1	1_V	1V
JX669471.1	59049/BR-PE/99	Silva_2013	NCBI	1999-XX-XX	Brazil	South-America	1	1_V	1V
JX669472.1	70523/BR-PE/00	Silva_2013	NCBI	2000-XX-XX	Brazil	South-America	1	1_V	1V
JX669473.1	74488/BR-PE/01	Silva_2013	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
JX669474.1	75861/BR-PE/01	Silva_2013	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
JX669475.1	88463/BR-PE/02	Silva_2013	NCBI	2002-XX-XX	Brazil	South-America	1	1_V	1V
KF672759.1	242/2010/BR/RJ/2010	Nogueira_2013	NCBI	2010-XX-XX	Brazil	South-America	1	1_V	1V_A
KF672760.1	1266/2011/BR/RJ/2011	Nogueira_2013	NCBI	2011-XX-XX	Brazil	South-America	1	1_V	1V_E
KF672761.1	36034/BR/RJ/1988	Nogueira_2013	NCBI	1988-XX-XX	Brazil	South-America	1	1_V	1V
KF672762.1	38159/BR/RJ/1989	Nogueira_2013	NCBI	1989-XX-XX	Brazil	South-America	1	1_V	1V
KF672763.1	66694/BR/ES/2000	Nogueira_2013	NCBI	2000-XX-XX	Brazil	South-America	1	1_V	1V
KF672764.1	68826/BR/RJ/2001	Nogueira_2013	NCBI	2001-XX-XX	Brazil	South-America	1	1_V	1V
KP188539.1	DENV1_BR/SJRP/17/2010	Vedovello_2016	NCBI	2010-10-13	Brazil	South-America	1	1_V	1V_A
KP188540.1	DENV1_BR/SJRP/287/2011	Vedovello_2016	NCBI	2011-05-03	Brazil	South-America	1	1_V	1V_E
KP188541.1	DENV1_BR/SJRP/354/2011	Vedovello_2016	NCBI	2011-05-24	Brazil	South-America	1	1_V	1V_E
KP188542.1	BR/SJRP/395/2011	Vedovello_2016	NCBI	2011-06-08	Brazil	South-America	1	1_V	1V_E
KP188543.1	DENV1_BR/SJRP/484/2012	Vedovello_2016	NCBI	2012-02-13	Brazil	South-America	1	1_V	1V_A
KP188544.1	DENV1_BR/SJRP/509/2012	Vedovello_2016	NCBI	2012-03-16	Brazil	South-America	1	1_V	1V_A
KP188545.1	BR/SJRP/709/2013	Vedovello_2016	NCBI	2013-10-25	Brazil	South-America	1	1_V	1V_A
KP188546.1	DENV1_BR/SJRP/778/2013	Vedovello_2016	NCBI	2013-02-04	Brazil	South-America	1	1_V	1V_A
KP188547.1	DENV1_BR/SJRP/807/2013	Vedovello_2016	NCBI	2013-01-05	Brazil	South-America	1	1_V	1V_A
KP188548.1	BR/SJRP/885/2013	Vedovello_2016	NCBI	2013-01-14	Brazil	South-America	1	1_V	1V_A
KP188567.1	BR/SJRP/1107/2013	Vedovello_2016	NCBI	2013-02-26	Brazil	South-America	1	1_V	1V_A
KP188568.1	BR/SJRP/2271/2014	Vedovello_2016	NCBI	2014-02-10	Brazil	South-America	1	1_V	1V_A
KY369949.1	GU128/2013/BR	Ortiz-Baez_2017	NCBI	2013-01-XX	Brazil	South-America	1	1_V	1V_A
MT862854.1	707	Wallau_2020	NCBI	2008-05-07	Brazil	South-America	1	1_V	1V_E
MT862855.1	1127	Wallau_2020	NCBI	2019-03-25	Brazil	South-America	1	1_V	1V_E
MT862856.1	786	Wallau_2020	NCBI	2018-06-10	Brazil	South-America	1	1_V	1V_E
MT862857.1	221	Wallau_2020	NCBI	2019-05-13	Brazil	South-America	1	1_V	1V_E
MT862858.1	1170	Wallau_2020	NCBI	2019-03-19	Brazil	South-America	1	1_V	1V_E
MT862859.1	1258	Wallau_2020	NCBI	2019-05-06	Brazil	South-America	1	1_V	1V_E
MT862860.1	222	Wallau_2020	NCBI	2019-05-13	Brazil	South-America	1	1_V	1V_F
MT862861.1	215	Wallau_2020	NCBI	2019-05-13	Brazil	South-America	1	1_V	1V_E
MT862862.1	641	Wallau_2020	NCBI	2018-04-21	Brazil	South-America	1	1_V	1V_E
