strain	Sample_ID	Sample_Source	Data_Source	date	Location	Region	Serotype	Sero_Geno	Lineage
AP001	P_7-863	Ott_2021	Yale	1969-02-11	Malaysia	Southeast-Asia	2	2_II_related	2II_A
DH092r	VEN_95567	Ott_2021	Yale	1990-09-26	Venezuela	South-America	2	2_III	2III
MN589881.1	133denv2_BR_Rj	Torres_2019	NCBI	1999-01-12	Brazil	South-America	2	2_III	2III_B
MN589879.1	131denv2_BR_Rj	Torres_2019	NCBI	1999-04-09	Brazil	South-America	2	2_III	2III_B
MN589880.1	132denv2_BR_Rj	Torres_2019	NCBI	1999-04-09	Brazil	South-America	2	2_III	2III_B
MN589882.1	134denv2_BR_Rj	Torres_2019	NCBI	2000-05-03	Brazil	South-America	2	2_III	2III_B
MN589883.1	135denv2_BR_Rj	Torres_2019	NCBI	2001-04-02	Brazil	South-America	2	2_III	2III_B
MN589884.1	136denv2_BR_Rj	Torres_2019	NCBI	2001-05-30	Brazil	South-America	2	2_III	2III_B
KC294216.1	DENV-2/PE/FSL699/2002	Williams_2014	NCBI	2002-02-06	Peru	South-America	2	2_III	2III_B
KC294222.1	DENV-2/PE/NFI_52/2002	Williams_2014	NCBI	2002-03-22	Peru	South-America	2	2_III	2III_B
GU369819.1	CAM7786	Vaughan_2010	NCBI	2002-08-22	Mexico	North-America	2	2_III	2III_D
DH159	SL 6-28-04	Ott_2022	Yale	2004-06-28	Sri-Lanka	South-Asia	2	2_II_related	2II_A.1
OQ603277.1	427516	Laiton-Donato_1905	NCBI	2005-07-05	Colombia	Colombia	2	2_III	2III_D
OQ603281.1	449308	Laiton-Donato_1905	NCBI	2005-07-07	Colombia	Colombia	2	2_III	2III_D
OQ603284.1	449618	Laiton-Donato_1905	NCBI	2005-07-07	Colombia	Colombia	2	2_III	2III_D
OQ603285.1	450024	Laiton-Donato_1905	NCBI	2005-07-07	Colombia	Colombia	2	2_III	2III_D
OQ603286.1	450446	Laiton-Donato_1905	NCBI	2005-07-07	Colombia	Colombia	2	2_III	2III_D.2
OQ603292.1	476747	Laiton-Donato_1905	NCBI	2005-07-08	Colombia	Colombia	2	2_III	2III_D.2
OQ733364.1	THSTI-TRC-DENV2-16	Verma_1905	NCBI	2005-07-14	India	South-Asia	2	2_II_related	2II_A.1
KP188549.1	BR/SJRP/327/2006	Vedovello_2016	NCBI	2006-05-26	Brazil	South-America	2	2_III	2III_C
DH158	UIS 984	Ott_2022	Yale	2006-12-18	Colombia	Colombia	2	2_III	2III_D.2
KC294200.1	DENV-2/PE/FMD1337/2007	Williams_2014	NCBI	2007-03-28	Peru	South-America	2	2_III	2III_B
MN589858.1	137denv2_BR_Rj	Torres_2019	NCBI	2007-08-27	Brazil	South-America	2	2_III	2III_C
KC762660.1	MKS-0084	Sasmono_2015	NCBI	2007-11-21	Indonesia	Southeast-Asia	2	2_II	2II_E
MN589859.1	138denv2_BR_Rj	Torres_2019	NCBI	2007-11-22	Brazil	South-America	2	2_III	2III_C
MN589860.1	139denv2_BR_Rj	Torres_2019	NCBI	2007-12-20	Brazil	South-America	2	2_III	2III_C
MT929745.1	OPAS140	Adelino_2021	NCBI	2008-03-04	Brazil	South-America	2	2_III	2III_C
KC762674.1	MKS-2167	Sasmono_2015	NCBI	2008-03-11	Indonesia	Southeast-Asia	2	2_II	2II_D.3
MN589865.1	144denv2_BR_Rj	Torres_2019	NCBI	2008-04-07	Brazil	South-America	2	2_III	2III_C
MW577843.1	197	Torres_2021	NCBI	2008-04-23	Brazil	South-America	2	2_III	2III_C
KY849752.1	LNT555	Castonguay-Vanier_2018	NCBI	2008-09-07	Laos	Southeast-Asia	2	2_V	2V_A
KC294201.1	DENV-2/PE/FMD2303/2009	Williams_2014	NCBI	2009-02-13	Peru	South-America	2	2_III	2III_B
MW577853.1	207	Torres_2021	NCBI	2009-03-17	Brazil	South-America	2	2_III	2III_C
KY849756.1	UI15033	Castonguay-Vanier_2018	NCBI	2009-09-02	Laos	Southeast-Asia	2	2_V	2V_A.3
MW577837.1	191	Torres_2021	NCBI	2009-09-16	Brazil	South-America	2	2_III	2III_C
MN589866.1	145denv2_BR_Rj	Torres_2019	NCBI	2009-12-23	Brazil	South-America	2	2_III	2III_C
MW577852.1	206	Torres_2021	NCBI	2010-03-02	Brazil	South-America	2	2_III	2III_C
