strain,Sample_ID,Sample_Source,Data_Source,date,Location,Region,Serotype,Sero_Geno,Lineage
DH002_AMPL,RioH_36589,Ott_2022,Yale,1988-XX-XX,Angola,Sub-Saharan-Africa,1,1_V,1V
KF184975.1,Angola_2013,Sessions_2013,NCBI,2013-04-XX,Angola,Sub-Saharan-Africa,1,1_unassigned,1VI_A
AF514876.3,301arg00,Aviles_2002,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
AF514885.3,295arg00,Aviles_2002,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
AF514889.3,297arg00,Aviles_2002,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
AY277659.2,ARG0044,Barrero_2004,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
AY277664.2,ARG9920,Barrero_2004,NCBI,1999-XX-XX,Argentina,South-America,1,1_V,1V
AY277665.2,ARG0028,Barrero_2004,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
AY277666.2,ARG0048,Barrero_2004,NCBI,2000-XX-XX,Argentina,South-America,1,1_V,1V
KC692497.1,HNRG12560,Tittarelli_2014,NCBI,2009-03-02,Argentina,South-America,1,1_V,1V_E
KC692499.1,HNRG13154,Tittarelli_2014,NCBI,2009-03-31,Argentina,South-America,1,1_V,1V_E
KC692501.1,HNRG13301,Tittarelli_2014,NCBI,2009-04-06,Argentina,South-America,1,1_V,1V_E
KC692504.1,HNRG13707,Tittarelli_2014,NCBI,2009-04-16,Argentina,South-America,1,1_V,1V_E
KC692510.1,HNRG15417,Tittarelli_2014,NCBI,2009-05-28,Argentina,South-America,1,1_V,1V_E
KC692511.1,HNRG24827,Tittarelli_2014,NCBI,2010-02-10,Argentina,South-America,1,1_V,1V_A
KC692512.1,HNRG25001,Tittarelli_2014,NCBI,2010-02-17,Argentina,South-America,1,1_V,1V_E
KC692514.1,HNRG27486,Tittarelli_2014,NCBI,2010-05-03,Argentina,South-America,1,1_V,1V_E
KC692517.1,HNRG37945,Tittarelli_2014,NCBI,2010-12-29,Argentina,South-America,1,1_V,1V_F
KR919821.1,TSV08,Pyke_2016,NCBI,2008-XX-XX,Australia,Pacific,1,1_I,1I_K
MH921566.1,PNG_2015c,Pyke_2018,NCBI,2015-XX-XX,Australia,Pacific,1,1_IV,1IV_A
MH921567.1,PNG_2016,Pyke_2018,NCBI,2016-XX-XX,Australia,Pacific,1,1_IV,1IV_A
MT921569.1,Cairns_2013b,Pyke_2020,NCBI,2013-XX-XX,Australia,Pacific,1,1_I,1I_H.1
OK605753.1,DENV1-1_AUS_H_T1_9,Tamura_2022,NCBI,1983-XX-XX,Australia,Pacific,1,1_IV,1IV
DH006,CAREC_777921,Ott_2021,Yale,1977-XX-XX,Bahamas,Caribbean,1,1_V,1V
OR389272.1,DENV1/Bahamas/1977/Yale-DH006,Vogels_2023,Yale,1977-05-30,Bahamas,Caribbean,1,1_V,1V
LC436668.1,B17-1547,Suzuki_2020,NCBI,2017-11-XX,Bangladesh,South-Asia,1,1_III_related,1III_A
OA05,CAREC_0101765,Allicock_2021,Yale,2001-XX-XX,Barbados,Caribbean,1,1_V,1V
OA06,CAREC_0511227,Allicock_2021,Yale,2005-XX-XX,Belize,Central-America,1,1_V,1V_C
MN600714.1,2019/BJ/9943,Fourie_2019,NCBI,2019-02-28,Benin,Sub-Saharan-Africa,1,1_III_related,1III_A
DENV1/Bolivia/2020-01-09/Yale-DN00976,220084,FL-DPH,Yale,2020-01-09,Bolivia,South-America,1,1_V,1V_D.2
DENV1/Bolivia/2020-03-15/Yale-DN01011,220290,FL-DPH,Yale,2020-03-15,Bolivia,South-America,1,1_V,1V_D.2
MW946053.1,FSB-3363,Katzelnick_2021,NCBI,2010-XX-XX,Bolivia,South-America,1,1_V,1V_E
OP895916.1,DENV_5739_2017,Nagy_2022,NCBI,2017-10-XX,Borneo,Southeast-Asia,1,1_I,1I_K
AB519681.1,SB_01057805_/DF02/,Nagata_2009,NCBI,2001-XX-XX,Brazil,South-America,1,1_V,1V
AF226685.2,Den1BR/90,dos Santos_2002,NCBI,1990-XX-XX,Brazil,South-America,1,1_V,1V
AF311956.1,BR/97-111,dos Santos_2002,NCBI,1997-XX-XX,Brazil,South-America,1,1_V,1V
AF311957.1,BR/97-409,dos Santos_2002,NCBI,1997-XX-XX,Brazil,South-America,1,1_V,1V
AF311958.1,BR/97-233,dos Santos_2002,NCBI,1997-XX-XX,Brazil,South-America,1,1_V,1V
DENV1/Brazil/2016-02-08/Yale-DN00355,190390,FL-DPH,Yale,2016-02-08,Brazil,South-America,1,1_V,1V_A
DH008,H_28973,Ott_2021,Yale,1986-XX-XX,Brazil,South-America,1,1_V,1V
DH009,BeH_455823,Ott_2021,Yale,1986-XX-XX,Brazil,South-America,1,1_V,1V
DH150,SP 194762,Ott_2022,Yale,2000-XX-XX,Brazil,South-America,1,1_V,1V
FJ850070.1,DENV-1/BR/BID-V2374/2000,Henn_2009,NCBI,2000-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850071.1,DENV-1/BR/BID-V2375/2000,Henn_2009,NCBI,2000-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850073.1,DENV-1/BR/BID-V2378/2001,Henn_2009,NCBI,2001-XX-XX,Brazil,South-America,1,1_V,1V
FJ850075.1,DENV-1/BR/BID-V2381/2002,Henn_2009,NCBI,2002-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850077.1,DENV-1/BR/BID-V2384/2003,Henn_2009,NCBI,2003-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850081.1,DENV-1/BR/BID-V2389/2004,Henn_2009,NCBI,2004-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850084.1,DENV-1/BR/BID-V2392/2005,Henn_2009,NCBI,2005-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850087.1,DENV-1/BR/BID-V2395/2006,Henn_2009,NCBI,2006-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850090.1,DENV-1/BR/BID-V2398/2007,Henn_2009,NCBI,2007-XX-XX,Brazil,South-America,1,1_V,1V_A
FJ850093.1,DENV-1/BR/BID-V2401/2008,Henn_2009,NCBI,2008-XX-XX,Brazil,South-America,1,1_V,1V_F
GU131863.1,DENV-1/BR/BID-V3490/2008,Henn_2009,NCBI,2008-XX-XX,Brazil,South-America,1,1_V,1V_A
JX669461.1,9808/BR-PE/10,Silva_2013,NCBI,2010-XX-XX,Brazil,South-America,1,1_V,1V_A
JX669462.1,12898/BR-PE/10,Silva_2013,NCBI,2010-XX-XX,Brazil,South-America,1,1_V,1V_E
JX669464.1,13671/BR-PE/10,Silva_2013,NCBI,2010-XX-XX,Brazil,South-America,1,1_V,1V_A
JX669465.1,13861/BR-PE/10,Silva_2013,NCBI,2010-XX-XX,Brazil,South-America,1,1_V,1V_A
JX669467.1,21814/BR-PE/96,Silva_2013,NCBI,1996-XX-XX,Brazil,South-America,1,1_V,1V
JX669469.1,41111/BR-PE/97,Silva_2013,NCBI,1997-XX-XX,Brazil,South-America,1,1_V,1V
JX669470.1,52082/BR-PE/98,Silva_2013,NCBI,1998-XX-XX,Brazil,South-America,1,1_V,1V
JX669471.1,59049/BR-PE/99,Silva_2013,NCBI,1999-XX-XX,Brazil,South-America,1,1_V,1V
JX669472.1,70523/BR-PE/00,Silva_2013,NCBI,2000-XX-XX,Brazil,South-America,1,1_V,1V
JX669473.1,74488/BR-PE/01,Silva_2013,NCBI,2001-XX-XX,Brazil,South-America,1,1_V,1V
JX669474.1,75861/BR-PE/01,Silva_2013,NCBI,2001-XX-XX,Brazil,South-America,1,1_V,1V
JX669475.1,88463/BR-PE/02,Silva_2013,NCBI,2002-XX-XX,Brazil,South-America,1,1_V,1V
KF672760.1,1266/2011/BR/RJ/2011,Nogueira_2013,NCBI,2011-XX-XX,Brazil,South-America,1,1_V,1V_E
KF672761.1,36034/BR/RJ/1988,Nogueira_2013,NCBI,1988-XX-XX,Brazil,South-America,1,1_V,1V
KF672762.1,38159/BR/RJ/1989,Nogueira_2013,NCBI,1989-XX-XX,Brazil,South-America,1,1_V,1V
KF672763.1,66694/BR/ES/2000,Nogueira_2013,NCBI,2000-XX-XX,Brazil,South-America,1,1_V,1V
KF672764.1,68826/BR/RJ/2001,Nogueira_2013,NCBI,2001-XX-XX,Brazil,South-America,1,1_V,1V
KP188539.1,DENV1_BR/SJRP/17/2010,Vedovello_2016,NCBI,2010-10-13,Brazil,South-America,1,1_V,1V_A
KP188540.1,DENV1_BR/SJRP/287/2011,Vedovello_2016,NCBI,2011-05-03,Brazil,South-America,1,1_V,1V_E
KP188541.1,DENV1_BR/SJRP/354/2011,Vedovello_2016,NCBI,2011-05-24,Brazil,South-America,1,1_V,1V_E
KP188542.1,BR/SJRP/395/2011,Vedovello_2016,NCBI,2011-06-08,Brazil,South-America,1,1_V,1V_E
KP188543.1,DENV1_BR/SJRP/484/2012,Vedovello_2016,NCBI,2012-02-13,Brazil,South-America,1,1_V,1V_A
KP188544.1,DENV1_BR/SJRP/509/2012,Vedovello_2016,NCBI,2012-03-16,Brazil,South-America,1,1_V,1V_A
KP188545.1,BR/SJRP/709/2013,Vedovello_2016,NCBI,2013-10-25,Brazil,South-America,1,1_V,1V_A
KP188546.1,DENV1_BR/SJRP/778/2013,Vedovello_2016,NCBI,2013-02-04,Brazil,South-America,1,1_V,1V_A
KP188547.1,DENV1_BR/SJRP/807/2013,Vedovello_2016,NCBI,2013-01-05,Brazil,South-America,1,1_V,1V_A
KP188567.1,BR/SJRP/1107/2013,Vedovello_2016,NCBI,2013-02-26,Brazil,South-America,1,1_V,1V_A
KP188568.1,BR/SJRP/2271/2014,Vedovello_2016,NCBI,2014-02-10,Brazil,South-America,1,1_V,1V_A
KY369949.1,GU128/2013/BR,Ortiz-Baez_2017,NCBI,2013-01-XX,Brazil,South-America,1,1_V,1V_A
MT862854.1,707,Wallau_2020,NCBI,2008-05-07,Brazil,South-America,1,1_V,1V_E
MT862855.1,1127,Wallau_2020,NCBI,2019-03-25,Brazil,South-America,1,1_V,1V_E
MT862858.1,1170,Wallau_2020,NCBI,2019-03-19,Brazil,South-America,1,1_V,1V_E
MT862881.1,762,Wallau_2020,NCBI,2018-05-26,Brazil,South-America,1,1_V,1V_E
MT862883.1,638,Wallau_2020,NCBI,2018-04-23,Brazil,South-America,1,1_V,1V_E
MT929549.1,OPAS90,Adelino_2021,NCBI,2016-02-13,Brazil,South-America,1,1_V,1V_E
MT929550.1,OPAS92,Adelino_2021,NCBI,2016-03-14,Brazil,South-America,1,1_V,1V_A
MT929552.1,OPAS100,Adelino_2021,NCBI,2018-04-12,Brazil,South-America,1,1_V,1V_A
MT929555.1,OPAS103,Adelino_2021,NCBI,2018-07-05,Brazil,South-America,1,1_V,1V_A
MT929577.1,OPAS165,Adelino_2021,NCBI,2017-03-21,Brazil,South-America,1,1_V,1V_F
MT929578.1,OPAS167,Adelino_2021,NCBI,2017-05-09,Brazil,South-America,1,1_V,1V_E
MT929579.1,OPAS168,Adelino_2021,NCBI,2017-05-08,Brazil,South-America,1,1_V,1V_E
MT929580.1,OPAS169,Adelino_2021,NCBI,2017-05-08,Brazil,South-America,1,1_V,1V_E
MT929584.1,OPAS175,Adelino_2021,NCBI,2016-02-20,Brazil,South-America,1,1_V,1V_F
MW208044.1,USP-CB-54,Brito_2020,Yale,2018-11-18,Brazil,South-America,1,1_V,1V_A
MW377899.1,DENV-1/AP/BR/233,Ribeiro_2020,NCBI,2014-12-10,Brazil,South-America,1,1_V,1V_F
MW377900.1,DENV-1/AP/BR/236,Ribeiro_2020,NCBI,2014-10-24,Brazil,South-America,1,1_V,1V_F
MW377901.1,DENV-1/AP/BR/338,Ribeiro_2020,NCBI,2015-02-23,Brazil,South-America,1,1_V,1V_F
MW377902.1,DENV-1/AP/BR/460,Ribeiro_2020,NCBI,2014-07-07,Brazil,South-America,1,1_V,1V_F
MW377903.1,DENV-1/AP/BR/464,Ribeiro_2020,NCBI,2014-09-14,Brazil,South-America,1,1_V,1V_F
MW377904.1,DENV-1/AP/BR/494,Ribeiro_2020,NCBI,2015-06-19,Brazil,South-America,1,1_V,1V_F
OK605754.1,DENV1-2_BE_H_584526,Tamura_2022,NCBI,1997-XX-XX,Brazil,South-America,1,1_V,1V
ON426292.1,NS6378,Sacchi_2022,NCBI,2020-01-22,Brazil,South-America,1,1_V,1V_C
ON426293.1,NS8014,Sacchi_2022,NCBI,2020-02-09,Brazil,South-America,1,1_V,1V_A
ON426299.1,NS9136,Sacchi_2022,NCBI,2021-03-20,Brazil,South-America,1,1_V,1V_A
ON426300.1,NS9144,Sacchi_2022,NCBI,2021-03-26,Brazil,South-America,1,1_V,1V_D.2
ON426324.1,RNA43541,Sacchi_2022,NCBI,2020-01-20,Brazil,South-America,1,1_V,1V_E
ON426325.1,RNA43778,Sacchi_2022,NCBI,2020-02-25,Brazil,South-America,1,1_V,1V_E
ON426326.1,RNA43894,Sacchi_2022,NCBI,2020-03-04,Brazil,South-America,1,1_V,1V_E
ON426356.1,RP11,Sacchi_2022,NCBI,2021-04-07,Brazil,South-America,1,1_V,1V_F
ON632099.1,NS11548,Sacchi_2022,NCBI,2022-04-07,Brazil,South-America,1,1_V,1V_A
OQ078884.1,NIH-23_NB27_BA,Fritsch_2023,NCBI,2019-04-16,Brazil,South-America,1,1_V,1V_F
OQ786002.1,NGS_661,Sacchi_2023,NCBI,2023-01-03,Brazil,South-America,1,1_V,1V_E
OQ786003.1,NGS_662,Sacchi_2023,NCBI,2023-01-02,Brazil,South-America,1,1_V,1V_E
OQ786004.1,NGS_663,Sacchi_2023,NCBI,2023-01-02,Brazil,South-America,1,1_V,1V_E
OQ786005.1,NGS_664,Sacchi_2023,NCBI,2023-01-02,Brazil,South-America,1,1_V,1V_E
OQ786006.1,NGS_665,Sacchi_2023,NCBI,2023-01-10,Brazil,South-America,1,1_V,1V_E
OQ786007.1,NGS_666,Sacchi_2023,NCBI,2023-01-10,Brazil,South-America,1,1_V,1V_E
OQ786008.1,NGS_667,Sacchi_2023,NCBI,2023-01-07,Brazil,South-America,1,1_V,1V_E
OQ786009.1,NGS_668,Sacchi_2023,NCBI,2023-01-09,Brazil,South-America,1,1_V,1V_E
OQ786010.1,NGS_670,Sacchi_2023,NCBI,2023-01-09,Brazil,South-America,1,1_V,1V_D.1
OQ786011.1,NGS_671,Sacchi_2023,NCBI,2023-01-10,Brazil,South-America,1,1_V,1V_E
